,sample_number,num_phenotypes
0,1,0
1,3,1
2,6,2
3,7,3
4,10,4
5,11,5
6,12,6
7,13,7
8,14,8
9,23,9
10,24,10
11,32,11
12,35,12
13,39,13
14,40,14
15,55,15
16,56,16
17,61,17
18,66,18
19,76,19
20,82,20
21,84,21
22,90,22
23,93,23
24,111,24
25,115,25
26,118,26
27,128,27
28,140,28
29,153,29
30,169,30
31,185,31
32,207,32
33,261,33
34,280,34
35,345,35
36,393,36
37,406,37
38,417,38
39,487,39
40,786,40
41,818,41
42,869,42
43,917,43
44,957,44
45,1066,45
46,1411,46
47,1458,47
48,1551,48
49,1571,49
50,1735,50
51,1747,51
52,2295,52
53,2494,53
54,2601,54
55,3047,55
56,3073,56
57,3188,57
58,3222,58
59,3940,59
60,3973,60
61,5802,61
62,5956,62
63,6687,63
64,6775,64
65,6859,65
66,7725,66
67,8545,67
68,9699,68
69,11489,69
70,12426,70
71,12511,71
72,12823,72
73,13070,73
74,13481,74
75,16286,75
76,17072,76
77,23767,77
78,24660,78
79,28076,79
80,29084,80
81,48441,81
82,68646,82
83,82982,83
84,87177,84
85,87437,85
86,88577,86
87,88973,87
88,134430,88
89,144572,89
90,145127,90
