,phenotype,count
0,0000000,77628
1,1010010,872
2,0001000,5530
3,0001100,1231
4,0010010,2575
5,0000001,1218
6,0011000,1530
7,0100000,20336
8,1011000,1662
9,0000100,3647
10,0100100,596
11,1010110,823
12,1011010,470
13,0101000,913
14,1010000,2598
15,0011100,938
16,0010100,1844
17,0010110,1381
18,1000100,1465
19,1001100,1042
20,1011110,541
21,0010000,4997
22,1000000,3323
23,1010100,1940
24,1100000,664
25,0110000,919
26,1110000,466
27,1111010,82
28,1001000,1655
29,1011100,1452
30,0011010,749
31,0110100,285
32,1110100,283
33,0110010,559
34,1110010,188
35,0110110,191
36,1111100,208
37,0011110,561
38,0101100,167
39,0111000,281
40,0010101,13
41,1010001,23
42,1110110,120
43,0111110,66
44,0111100,147
45,0111010,113
46,0100001,169
47,1111000,285
48,1001001,20
49,1101000,277
50,0110011,3
51,1100100,243
52,0000010,114
53,0000101,27
54,0001001,54
55,1011101,9
56,1101100,133
57,1111110,70
58,0100010,15
59,0010001,53
60,1000001,43
61,1100001,5
62,1000110,3
63,0001101,10
64,1000101,16
65,0011101,9
66,0100101,4
67,0110001,8
68,1011001,24
69,1110101,2
70,0010111,8
71,0010011,20
72,0011011,3
73,1010111,6
74,0011001,14
75,1010011,4
76,1101101,1
77,0101001,8
78,1010101,16
79,0000110,4
80,1110001,1
81,1100101,1
82,0110101,3
83,1001101,7
84,0111001,2
85,1000010,6
86,0001110,2
87,1011011,3
88,1111101,1
89,0001010,1
90,0101101,1
