,phenotype,count
0,0000011,7488
1,1001000,9327
2,1000000,5082
3,0010100,4713
4,0000001,32516
5,0010001,36106
6,0000000,10122
7,0001000,4917
8,0010101,12308
9,0100010,5504
10,0010111,2275
11,0100011,7142
12,1011001,281
13,1011101,209
14,0100000,572
15,0100001,601
16,0000111,825
17,0000010,560
18,0010110,92
19,0001011,219
20,1000001,464
21,1001011,359
22,0010000,428
23,0000101,612
24,0010011,3278
25,0000100,763
26,1010001,164
27,0001101,142
28,1001001,646
29,1001010,256
30,1010101,301
31,0011101,161
32,0110111,110
33,0000110,256
34,0100111,140
35,0011001,319
36,0100101,192
37,0001010,41
38,0110011,301
39,0110001,46
40,0001001,103
41,1001101,59
