,phenotype,count
0,101001100,127
1,100000101,104
2,110001001,151
3,101000111,38
4,100100111,12
5,111110101,130
6,111010111,475
7,100111010,135
8,101110111,549
9,001000111,5
10,111011110,423
11,101001010,33
12,111001101,513
13,111010101,569
14,010101010,7
15,001001001,305
16,110010111,108
17,010110011,321
18,100110100,193
19,111000101,2349
20,101100011,28
21,111111011,271
22,111011111,534
23,110101000,37
24,000000000,51
25,111000001,1963
26,111000111,133
27,110000101,298
28,101101100,58
29,100111011,195
30,010111011,145
31,101110011,404
32,110110101,457
33,110011100,45
34,111110111,765
35,000110000,52
36,010001001,57
37,110100001,176
38,011010110,71
39,000110001,501
40,011011110,75
41,111000011,117
42,111001100,175
43,100001110,27
44,111111100,61
45,110000001,930
46,010110101,209
47,010011111,59
48,100100001,114
49,010101001,22
50,111110110,323
51,010111110,111
52,001010001,20
53,111101000,52
54,100010101,199
55,000010110,43
56,111010010,55
57,010011110,75
58,000110101,326
59,000110011,584
60,111101001,166
61,100110101,1909
62,010000001,151
63,010100000,10
64,010110001,322
65,011011101,95
66,001100101,22
67,111111110,437
68,111100001,168
69,101011011,79
70,101111001,61
71,100111111,386
72,110110000,59
73,101111011,347
74,110110111,334
75,100110111,232
76,000011101,26
77,011000000,49
78,000110111,413
79,000010011,57
80,001110111,137
81,101111101,45
82,011101001,27
83,010110111,319
84,111111111,506
85,001111111,95
86,111110001,53
87,011110101,30
88,110100101,137
89,101111110,421
90,001000001,299
91,000110110,135
92,111110011,232
93,011110111,226
94,000100101,35
95,010001101,28
96,101011110,276
97,011000100,22
98,011000001,229
99,011111010,24
100,100000000,68
101,111111001,58
102,110111011,151
103,110000100,68
104,110001110,22
105,011101010,8
106,110111100,27
107,111011011,86
108,101010110,90
109,110100000,38
110,000011110,130
111,111001001,856
112,011110010,58
113,011010111,87
114,101000001,373
115,111010100,194
116,100001101,47
117,100001000,93
118,101101011,56
119,101001000,106
120,011110011,67
121,111111010,183
122,111010001,160
123,101000100,57
124,110010101,318
125,101010101,60
126,111101100,94
127,100111110,495
128,001111011,53
129,111001011,112
130,000111111,412
131,010100110,7
132,100110001,382
133,101001001,360
134,111000000,199
135,110011110,298
136,000011010,26
137,110111010,301
138,011011011,26
139,011111110,88
140,101110110,168
141,101011010,65
142,000000101,52
143,000011000,4
144,000110010,94
145,001010111,53
146,110110011,418
147,001011110,57
148,010010101,56
149,011111111,101
150,101100000,9
151,001110100,4
152,100001001,119
153,101010011,72
154,000000011,22
155,011001111,27
156,101111111,353
157,110000010,6
158,111110010,94
159,100100101,64
160,111101101,235
161,111011001,55
162,111001111,154
163,110001011,24
164,001101110,9
165,001111010,23
166,101101101,68
167,100111101,31
168,001100011,20
169,101001110,63
170,111000100,287
171,001100001,47
172,101100101,32
173,111101011,49
174,010111111,147
175,011111101,31
176,100011111,142
177,111111101,120
178,100101001,38
179,101011101,78
180,111100111,81
181,010011001,19
182,000110100,59
183,000100010,4
184,110010110,71
185,011110110,166
186,101100001,49
187,100011101,29
188,111001000,183
189,100000001,260
190,000111011,239
191,110110110,140
192,110101100,34
193,100110011,249
194,000101111,17
195,001110010,17
196,110111111,230
197,000001101,24
198,110101010,27
199,101101000,66
200,111011010,64
201,000111110,265
202,100001111,27
