,sample_number,num_phenotypes
0,1,0
1,2,1
2,3,2
3,5,3
4,6,4
5,8,5
6,10,6
7,11,7
8,12,8
9,14,9
10,17,10
11,21,11
12,23,12
13,27,13
14,28,14
15,32,15
16,34,16
17,35,17
18,37,18
19,38,19
20,39,20
21,48,21
22,54,22
23,56,23
24,62,24
25,64,25
26,73,26
27,78,27
28,82,28
29,93,29
30,95,30
31,108,31
32,110,32
33,112,33
34,123,34
35,125,35
36,127,36
37,129,37
38,132,38
39,138,39
40,140,40
41,143,41
42,147,42
43,152,43
44,153,44
45,155,45
46,164,46
47,169,47
48,181,48
49,182,49
50,187,50
51,191,51
52,194,52
53,208,53
54,213,54
55,221,55
56,224,56
57,244,57
58,252,58
59,258,59
60,260,60
61,264,61
62,267,62
63,271,63
64,279,64
65,292,65
66,298,66
67,299,67
68,304,68
69,306,69
70,318,70
71,326,71
72,330,72
73,335,73
74,349,74
75,357,75
76,359,76
77,360,77
78,375,78
79,377,79
80,387,80
81,402,81
82,408,82
83,409,83
84,416,84
85,430,85
86,442,86
87,461,87
88,468,88
89,492,89
90,495,90
91,526,91
92,531,92
93,541,93
94,543,94
95,549,95
96,563,96
97,564,97
98,588,98
99,614,99
100,623,100
101,637,101
102,651,102
103,666,103
104,673,104
105,689,105
106,754,106
107,757,107
108,767,108
109,770,109
110,785,110
111,801,111
112,807,112
113,839,113
114,845,114
115,857,115
116,881,116
117,895,117
118,936,118
119,989,119
120,1004,120
121,1010,121
122,1041,122
123,1066,123
124,1080,124
125,1083,125
126,1086,126
127,1091,127
128,1134,128
129,1159,129
130,1161,130
131,1374,131
132,1449,132
133,1456,133
134,1500,134
135,1508,135
136,1555,136
137,1557,137
138,1568,138
139,1570,139
140,1622,140
141,1641,141
142,1651,142
143,1681,143
144,1700,144
145,1785,145
146,1822,146
147,1923,147
148,2131,148
149,2168,149
150,2175,150
151,2179,151
152,2208,152
153,2224,153
154,2355,154
155,2356,155
156,2407,156
157,2440,157
158,2579,158
159,2657,159
160,2720,160
161,2744,161
162,2901,162
163,3043,163
164,3214,164
165,3224,165
166,3273,166
167,3278,167
168,3284,168
169,3333,169
170,3537,170
171,3639,171
172,3685,172
173,3811,173
174,3901,174
175,3923,175
176,4006,176
177,4204,177
178,4260,178
179,4358,179
180,4438,180
181,4496,181
182,4622,182
183,4975,183
184,5023,184
185,5039,185
186,5064,186
187,5127,187
188,5488,188
189,5492,189
190,5704,190
191,5740,191
192,5788,192
193,5995,193
194,6139,194
195,6256,195
196,6602,196
197,6688,197
198,6706,198
199,6738,199
200,6769,200
201,6849,201
202,6938,202
203,6995,203
204,7623,204
205,7751,205
206,7752,206
207,7913,207
208,8022,208
209,8193,209
210,8256,210
211,8542,211
212,8964,212
213,9121,213
214,9332,214
215,9503,215
216,9518,216
217,9670,217
218,9965,218
219,10007,219
220,10038,220
221,10489,221
222,11032,222
223,11043,223
224,11151,224
225,11361,225
226,12040,226
227,12922,227
228,13155,228
229,13457,229
230,13653,230
231,13775,231
232,14686,232
233,15073,233
234,15085,234
235,15765,235
236,16095,236
237,16352,237
238,17346,238
239,17560,239
240,17834,240
241,18628,241
242,18846,242
243,18937,243
244,19019,244
245,19369,245
246,19385,246
247,21599,247
248,21898,248
249,22153,249
250,22159,250
251,22459,251
252,24473,252
253,24920,253
254,25484,254
255,25678,255
256,26228,256
257,26532,257
258,26621,258
259,27109,259
260,27239,260
261,27830,261
262,29131,262
263,29426,263
264,30448,264
265,30818,265
266,30968,266
267,31052,267
268,31570,268
269,31736,269
270,33314,270
271,34788,271
272,35826,272
273,36522,273
274,37147,274
275,38137,275
276,40311,276
277,40486,277
278,40961,278
279,42123,279
280,43476,280
281,43921,281
282,44980,282
283,46904,283
284,47286,284
285,47988,285
286,48083,286
287,49016,287
288,49998,288
289,50733,289
290,51374,290
291,53751,291
292,57632,292
293,61920,293
294,61985,294
295,63176,295
296,63622,296
297,63917,297
298,63961,298
299,64222,299
300,64523,300
301,65199,301
302,66869,302
303,68214,303
304,70076,304
305,70134,305
306,70711,306
307,74212,307
308,75162,308
309,75274,309
310,75705,310
311,78063,311
312,80449,312
313,80884,313
314,83310,314
315,85240,315
316,86464,316
317,87130,317
318,87790,318
319,88233,319
320,92892,320
321,93570,321
322,95484,322
323,95945,323
324,96235,324
325,101570,325
326,102112,326
327,102403,327
328,103074,328
329,106343,329
330,108021,330
331,108408,331
332,109629,332
333,114630,333
334,115494,334
335,118078,335
336,118182,336
337,121164,337
338,121834,338
339,121879,339
340,124806,340
341,124959,341
342,126914,342
343,130403,343
344,137933,344
345,139189,345
346,139425,346
347,144122,347
