,phenotype,count
0,000010000,4503
1,010010001,3086
2,100100000,860
3,010010101,23
4,000000000,72040
5,111101010,1251
6,000101000,891
7,010110000,226
8,001110010,122
9,010101000,755
10,010111010,140
11,110101000,696
12,010000010,932
13,100100010,491
14,010000000,9750
15,010100000,1345
16,011100000,1077
17,011100010,969
18,000001000,1776
19,110100010,787
20,010010000,2028
21,001100010,751
22,100000000,1166
23,000100000,2560
24,000100100,39
25,010010010,141
26,110000000,722
27,110110000,151
28,000010001,3757
29,100101000,485
30,000100001,22
31,100110000,119
32,000100010,866
33,101000000,234
34,101100010,449
35,101101010,536
36,011110011,37
37,110100000,777
38,000010010,177
39,001001000,285
40,010111011,45
41,101100000,546
42,001100000,1879
43,010001010,533
44,011101010,880
45,000010100,76
46,010001000,932
47,001101010,409
48,001111010,90
49,010011000,163
50,000101010,494
51,011110000,259
52,000000010,1501
53,010100010,881
54,111001010,204
55,000111011,25
56,110010010,74
57,001011010,27
58,011001000,256
59,000000100,1506
60,110001010,308
61,011001010,176
62,110111010,158
63,001101000,576
64,011111010,224
65,100010000,105
66,110001000,352
67,010000001,39
68,111100000,714
69,010111000,136
70,000000001,704
71,110011010,47
72,001011001,7
73,110011011,31
74,011000010,310
75,111111010,311
76,110110011,54
77,110111011,80
78,011000000,524
79,101000010,149
80,111000010,209
81,101101000,629
82,000110001,192
83,010101010,668
84,011110001,57
85,000001010,594
86,001000000,1500
87,000110000,319
88,111100010,940
89,110010011,33
90,111101000,916
91,010000100,153
92,010011001,91
93,001000010,365
94,100000010,395
95,001110000,256
96,110111001,87
97,100001000,390
98,001100100,26
99,011010001,59
100,101111000,84
101,011100011,7
102,100010010,38
103,001110011,20
104,110111000,147
105,010110001,208
106,100001010,217
107,110011000,64
108,001111011,11
109,100110010,80
110,110000010,400
111,110110010,134
112,111111000,195
113,011011000,35
114,011101000,679
115,110011001,41
116,111000000,208
117,001110001,33
118,111100110,9
119,101110000,101
120,101110011,10
121,100101010,411
122,000111010,66
123,000011000,175
124,110101010,815
125,000011010,68
126,111110000,175
127,110010000,125
128,111001000,153
129,010111001,76
130,101110001,20
131,101010001,12
132,010110011,87
133,011111000,191
134,000010011,71
135,011110010,193
136,111110010,215
137,101110010,85
138,111010000,35
139,101001000,110
140,001111000,98
141,111110001,32
142,111011000,23
143,100111010,70
144,001001010,147
145,010011010,98
146,000011001,53
147,110010001,102
148,000110011,40
149,011011011,12
150,111110011,26
151,010110010,158
152,000111000,141
153,011011001,17
154,101110111,1
155,101011011,6
156,011010000,98
157,000110010,124
158,001011000,37
159,101010000,27
160,000001100,33
161,000000110,23
162,100100011,3
163,100111001,35
164,010010011,104
165,001010010,41
166,100010011,17
167,100111000,63
168,001010011,15
169,001010000,93
170,000001001,11
171,111111001,36
172,111011011,10
173,000010101,61
174,110001100,2
175,101111010,86
176,100011001,22
177,010100100,15
178,011010011,18
179,100110011,32
180,010001100,8
181,110110110,4
182,110110001,108
183,001010001,74
184,101010010,12
185,000100011,8
186,101111100,2
187,110110100,1
188,011111001,29
189,011010010,46
190,001001100,2
191,110101100,6
192,100010001,45
193,000101100,13
194,000000011,14
195,100011011,22
196,010101100,8
197,010101110,6
198,100110001,58
199,100000011,2
200,111100011,4
201,011011010,38
202,011101110,5
203,001100001,11
204,101001010,100
205,010100110,9
206,010100001,17
207,111010010,36
208,001000110,5
209,011000100,5
210,100011000,39
211,001101110,8
212,100101110,6
213,111111011,41
214,101011000,10
215,000111001,40
216,010110101,3
217,010011011,31
218,111011010,30
219,000001011,6
220,000011011,33
221,111010001,18
222,100100100,6
223,110000001,8
224,110100011,4
225,000101011,1
226,010101001,4
227,010001110,6
228,100011010,31
229,110000100,6
230,101000011,1
231,011111011,21
232,011000011,1
233,001000001,5
234,001101100,7
235,100000100,13
236,011101011,2
237,001000100,21
238,010011100,1
239,110001110,4
240,110111110,2
241,110000110,5
242,010010100,23
243,011001100,4
244,011100100,12
245,100101100,6
246,101111011,17
247,110111100,1
248,010100111,1
249,010000110,7
250,011101100,4
251,100000001,6
252,110100110,2
253,111101110,4
254,001010110,1
255,100010101,2
256,011100110,3
257,111010011,10
258,001011011,6
259,000011100,3
260,011100001,5
261,010110100,5
262,111100001,4
263,100111011,26
264,101100110,4
265,110011111,2
266,100001110,2
267,111001011,1
268,001100110,6
269,100000110,2
270,101011010,14
271,001111001,12
272,110011100,2
273,010100011,4
274,100100001,3
275,110000011,2
276,001110110,1
277,000110101,1
278,011001110,3
279,111101100,1
280,010001001,3
281,000100110,6
282,000101110,3
283,110110101,1
284,110101110,3
285,111000110,1
286,100010111,1
287,001101011,3
288,110100100,3
289,000001110,5
290,111011001,9
291,101111001,12
292,000101001,3
293,001100011,2
294,101110100,3
295,010010110,2
296,101011001,4
297,101001001,3
298,101101110,2
299,101000110,2
300,111001001,2
301,010001011,3
302,110010110,1
303,100110100,1
304,001000011,2
305,000010111,2
306,101100100,3
307,000111101,1
308,101010011,5
309,100001001,2
310,010000011,4
311,100100110,5
312,101100011,2
313,111111100,1
314,011000001,1
315,000011110,1
316,010111110,1
317,011000110,2
318,110010100,1
319,000110100,3
320,000000101,1
321,100101011,2
322,110101001,1
323,011101001,2
324,011111100,2
325,110001001,3
326,111100100,3
327,101010101,1
328,111011110,1
329,000110110,1
330,101001110,1
331,110100001,2
332,001110100,1
333,101100001,2
334,011110100,1
335,010110111,3
336,100110110,1
337,100101001,1
338,101000100,1
339,000010110,2
340,001101001,2
341,001000101,1
342,101110110,1
343,100001100,1
344,110110111,1
345,010101011,2
346,011010101,1
347,111101011,1
