,N,c,n,replicate,th
1285,40.0,0.27625,5.0,35.0,0.8689655172413793
1286,40.0,0.283125,5.0,36.0,0.8689655172413793
1287,40.0,0.31125,5.0,37.0,0.8689655172413793
1288,40.0,0.255,5.0,38.0,0.8689655172413793
1289,40.0,0.25375,5.0,39.0,0.8689655172413793
1290,40.0,0.29125,5.0,40.0,0.8689655172413793
1291,40.0,0.24625,5.0,41.0,0.8689655172413793
1292,40.0,0.286875,5.0,42.0,0.8689655172413793
1293,40.0,0.2125,5.0,43.0,0.8689655172413793
1294,40.0,0.249375,5.0,44.0,0.8689655172413793
1295,40.0,0.24,5.0,45.0,0.8689655172413793
1296,40.0,0.270625,5.0,46.0,0.8689655172413793
1297,40.0,0.32625,5.0,47.0,0.8689655172413793
1298,40.0,0.221875,5.0,48.0,0.8689655172413793
1299,40.0,0.270625,5.0,49.0,0.8689655172413793
1300,40.0,0.236875,5.0,0.0,0.9017241379310345
1301,40.0,0.27875,5.0,1.0,0.9017241379310345
1302,40.0,0.243125,5.0,2.0,0.9017241379310345
1303,40.0,0.208125,5.0,3.0,0.9017241379310345
1304,40.0,0.2875,5.0,4.0,0.9017241379310345
1305,40.0,0.295,5.0,5.0,0.9017241379310345
1306,40.0,0.301875,5.0,6.0,0.9017241379310345
1307,40.0,0.306875,5.0,7.0,0.9017241379310345
1308,40.0,0.236875,5.0,8.0,0.9017241379310345
1309,40.0,0.238125,5.0,9.0,0.9017241379310345
1310,40.0,0.23625,5.0,10.0,0.9017241379310345
1311,40.0,0.315,5.0,11.0,0.9017241379310345
1312,40.0,0.249375,5.0,12.0,0.9017241379310345
1313,40.0,0.260625,5.0,13.0,0.9017241379310345
1314,40.0,0.26125,5.0,14.0,0.9017241379310345
1315,40.0,0.33375,5.0,15.0,0.9017241379310345
1316,40.0,0.3275,5.0,16.0,0.9017241379310345
1317,40.0,0.2575,5.0,17.0,0.9017241379310345
1318,40.0,0.253125,5.0,18.0,0.9017241379310345
1319,40.0,0.256875,5.0,19.0,0.9017241379310345
1320,40.0,0.215,5.0,20.0,0.9017241379310345
1321,40.0,0.345,5.0,21.0,0.9017241379310345
1322,40.0,0.309375,5.0,22.0,0.9017241379310345
1323,40.0,0.26625,5.0,23.0,0.9017241379310345
1324,40.0,0.2525,5.0,24.0,0.9017241379310345
1325,40.0,0.27,5.0,25.0,0.9017241379310345
1326,40.0,0.2275,5.0,26.0,0.9017241379310345
1327,40.0,0.225,5.0,27.0,0.9017241379310345
1328,40.0,0.265,5.0,28.0,0.9017241379310345
1329,40.0,0.209375,5.0,29.0,0.9017241379310345
1330,40.0,0.22875,5.0,30.0,0.9017241379310345
1331,40.0,0.29,5.0,31.0,0.9017241379310345
1332,40.0,0.281875,5.0,32.0,0.9017241379310345
1333,40.0,0.25625,5.0,33.0,0.9017241379310345
1334,40.0,0.259375,5.0,34.0,0.9017241379310345
1335,40.0,0.24125,5.0,35.0,0.9017241379310345
1336,40.0,0.281875,5.0,36.0,0.9017241379310345
1337,40.0,0.315,5.0,37.0,0.9017241379310345
1338,40.0,0.178125,5.0,38.0,0.9017241379310345
1339,40.0,0.2375,5.0,39.0,0.9017241379310345
1340,40.0,0.245625,5.0,40.0,0.9017241379310345
1341,40.0,0.28875,5.0,41.0,0.9017241379310345
1342,40.0,0.278125,5.0,42.0,0.9017241379310345
1343,40.0,0.27125,5.0,43.0,0.9017241379310345
1344,40.0,0.24625,5.0,44.0,0.9017241379310345
1345,40.0,0.259375,5.0,45.0,0.9017241379310345
1346,40.0,0.24125,5.0,46.0,0.9017241379310345
1347,40.0,0.26125,5.0,47.0,0.9017241379310345
1348,40.0,0.2175,5.0,48.0,0.9017241379310345
1349,40.0,0.27125,5.0,49.0,0.9017241379310345
1350,40.0,0.169375,5.0,0.0,0.9344827586206896
1351,40.0,0.278125,5.0,1.0,0.9344827586206896
1352,40.0,0.28125,5.0,2.0,0.9344827586206896
1353,40.0,0.27125,5.0,3.0,0.9344827586206896
1354,40.0,0.34375,5.0,4.0,0.9344827586206896
1355,40.0,0.326875,5.0,5.0,0.9344827586206896
1356,40.0,0.351875,5.0,6.0,0.9344827586206896
1357,40.0,0.22,5.0,7.0,0.9344827586206896
1358,40.0,0.265,5.0,8.0,0.9344827586206896
1359,40.0,0.2075,5.0,9.0,0.9344827586206896
1360,40.0,0.265,5.0,10.0,0.9344827586206896
1361,40.0,0.268125,5.0,11.0,0.9344827586206896
1362,40.0,0.244375,5.0,12.0,0.9344827586206896
1363,40.0,0.265,5.0,13.0,0.9344827586206896
1364,40.0,0.211875,5.0,14.0,0.9344827586206896
1365,40.0,0.303125,5.0,15.0,0.9344827586206896
1366,40.0,0.231875,5.0,16.0,0.9344827586206896
1367,40.0,0.27,5.0,17.0,0.9344827586206896
1368,40.0,0.32875,5.0,18.0,0.9344827586206896
1369,40.0,0.234375,5.0,19.0,0.9344827586206896
1370,40.0,0.25375,5.0,20.0,0.9344827586206896
1371,40.0,0.280625,5.0,21.0,0.9344827586206896
1372,40.0,0.24,5.0,22.0,0.9344827586206896
1373,40.0,0.273125,5.0,23.0,0.9344827586206896
1374,40.0,0.280625,5.0,24.0,0.9344827586206896
1375,40.0,0.259375,5.0,25.0,0.9344827586206896
1376,40.0,0.23,5.0,26.0,0.9344827586206896
1377,40.0,0.313125,5.0,27.0,0.9344827586206896
1378,40.0,0.32625,5.0,28.0,0.9344827586206896
1379,40.0,0.250625,5.0,29.0,0.9344827586206896
1380,40.0,0.23125,5.0,30.0,0.9344827586206896
1381,40.0,0.28625,5.0,31.0,0.9344827586206896
1382,40.0,0.324375,5.0,32.0,0.9344827586206896
1383,40.0,0.255,5.0,33.0,0.9344827586206896
1384,40.0,0.335,5.0,34.0,0.9344827586206896
1385,40.0,0.25125,5.0,35.0,0.9344827586206896
1386,40.0,0.264375,5.0,36.0,0.9344827586206896
1387,40.0,0.28625,5.0,37.0,0.9344827586206896
1388,40.0,0.225625,5.0,38.0,0.9344827586206896
1389,40.0,0.2775,5.0,39.0,0.9344827586206896
1390,40.0,0.22625,5.0,40.0,0.9344827586206896
1391,40.0,0.235625,5.0,41.0,0.9344827586206896
1392,40.0,0.224375,5.0,42.0,0.9344827586206896
1393,40.0,0.291875,5.0,43.0,0.9344827586206896
1394,40.0,0.31375,5.0,44.0,0.9344827586206896
1395,40.0,0.264375,5.0,45.0,0.9344827586206896
1396,40.0,0.209375,5.0,46.0,0.9344827586206896
1397,40.0,0.305,5.0,47.0,0.9344827586206896
1398,40.0,0.335,5.0,48.0,0.9344827586206896
1399,40.0,0.27375,5.0,49.0,0.9344827586206896
1400,40.0,0.270625,5.0,0.0,0.9672413793103447
1401,40.0,0.315,5.0,1.0,0.9672413793103447
1402,40.0,0.251875,5.0,2.0,0.9672413793103447
1403,40.0,0.290625,5.0,3.0,0.9672413793103447
1404,40.0,0.28,5.0,4.0,0.9672413793103447
1405,40.0,0.24,5.0,5.0,0.9672413793103447
1406,40.0,0.254375,5.0,6.0,0.9672413793103447
1407,40.0,0.33,5.0,7.0,0.9672413793103447
1408,40.0,0.2625,5.0,8.0,0.9672413793103447
1409,40.0,0.299375,5.0,9.0,0.9672413793103447
1410,40.0,0.244375,5.0,10.0,0.9672413793103447
1411,40.0,0.23125,5.0,11.0,0.9672413793103447
1412,40.0,0.23625,5.0,12.0,0.9672413793103447
1413,40.0,0.2875,5.0,13.0,0.9672413793103447
1414,40.0,0.298125,5.0,14.0,0.9672413793103447
1415,40.0,0.26,5.0,15.0,0.9672413793103447
1416,40.0,0.32375,5.0,16.0,0.9672413793103447
1417,40.0,0.27875,5.0,17.0,0.9672413793103447
1418,40.0,0.24875,5.0,18.0,0.9672413793103447
1419,40.0,0.205,5.0,19.0,0.9672413793103447
1420,40.0,0.29,5.0,20.0,0.9672413793103447
1421,40.0,0.265,5.0,21.0,0.9672413793103447
1422,40.0,0.248125,5.0,22.0,0.9672413793103447
1423,40.0,0.311875,5.0,23.0,0.9672413793103447
1424,40.0,0.288125,5.0,24.0,0.9672413793103447
1425,40.0,0.236875,5.0,25.0,0.9672413793103447
1426,40.0,0.290625,5.0,26.0,0.9672413793103447
1427,40.0,0.25375,5.0,27.0,0.9672413793103447
1428,40.0,0.26875,5.0,28.0,0.9672413793103447
1429,40.0,0.238125,5.0,29.0,0.9672413793103447
1430,40.0,0.3525,5.0,30.0,0.9672413793103447
1431,40.0,0.2675,5.0,31.0,0.9672413793103447
1432,40.0,0.26,5.0,32.0,0.9672413793103447
1433,40.0,0.22,5.0,33.0,0.9672413793103447
1434,40.0,0.25875,5.0,34.0,0.9672413793103447
1435,40.0,0.266875,5.0,35.0,0.9672413793103447
1436,40.0,0.264375,5.0,36.0,0.9672413793103447
1437,40.0,0.230625,5.0,37.0,0.9672413793103447
1438,40.0,0.3,5.0,38.0,0.9672413793103447
1439,40.0,0.335,5.0,39.0,0.9672413793103447
1440,40.0,0.25625,5.0,40.0,0.9672413793103447
1441,40.0,0.24875,5.0,41.0,0.9672413793103447
1442,40.0,0.268125,5.0,42.0,0.9672413793103447
1443,40.0,0.301875,5.0,43.0,0.9672413793103447
1444,40.0,0.278125,5.0,44.0,0.9672413793103447
1445,40.0,0.270625,5.0,45.0,0.9672413793103447
1446,40.0,0.241875,5.0,46.0,0.9672413793103447
1447,40.0,0.22125,5.0,47.0,0.9672413793103447
1448,40.0,0.25375,5.0,48.0,0.9672413793103447
1449,40.0,0.35625,5.0,49.0,0.9672413793103447
1450,40.0,0.265625,5.0,0.0,1.0
1451,40.0,0.276875,5.0,1.0,1.0
1452,40.0,0.248125,5.0,2.0,1.0
1453,40.0,0.348125,5.0,3.0,1.0
1454,40.0,0.263125,5.0,4.0,1.0
1455,40.0,0.243125,5.0,5.0,1.0
1456,40.0,0.260625,5.0,6.0,1.0
1457,40.0,0.290625,5.0,7.0,1.0
1458,40.0,0.25625,5.0,8.0,1.0
1459,40.0,0.25375,5.0,9.0,1.0
1460,40.0,0.35875,5.0,10.0,1.0
1461,40.0,0.275625,5.0,11.0,1.0
1462,40.0,0.256875,5.0,12.0,1.0
1463,40.0,0.238125,5.0,13.0,1.0
1464,40.0,0.305625,5.0,14.0,1.0
1465,40.0,0.19875,5.0,15.0,1.0
1466,40.0,0.304375,5.0,16.0,1.0
1467,40.0,0.265625,5.0,17.0,1.0
1468,40.0,0.26875,5.0,18.0,1.0
1469,40.0,0.275625,5.0,19.0,1.0
1470,40.0,0.299375,5.0,20.0,1.0
1471,40.0,0.2125,5.0,21.0,1.0
1472,40.0,0.21875,5.0,22.0,1.0
1473,40.0,0.305,5.0,23.0,1.0
1474,40.0,0.315625,5.0,24.0,1.0
1475,40.0,0.31875,5.0,25.0,1.0
1476,40.0,0.3,5.0,26.0,1.0
1477,40.0,0.241875,5.0,27.0,1.0
1478,40.0,0.341875,5.0,28.0,1.0
1479,40.0,0.29,5.0,29.0,1.0
1480,40.0,0.258125,5.0,30.0,1.0
1481,40.0,0.311875,5.0,31.0,1.0
1482,40.0,0.19625,5.0,32.0,1.0
1483,40.0,0.26875,5.0,33.0,1.0
1484,40.0,0.23125,5.0,34.0,1.0
1485,40.0,0.281875,5.0,35.0,1.0
1486,40.0,0.27,5.0,36.0,1.0
1487,40.0,0.251875,5.0,37.0,1.0
1488,40.0,0.299375,5.0,38.0,1.0
1489,40.0,0.304375,5.0,39.0,1.0
1490,40.0,0.284375,5.0,40.0,1.0
1491,40.0,0.268125,5.0,41.0,1.0
1492,40.0,0.300625,5.0,42.0,1.0
1493,40.0,0.29625,5.0,43.0,1.0
1494,40.0,0.245625,5.0,44.0,1.0
1495,40.0,0.2175,5.0,45.0,1.0
1496,40.0,0.29625,5.0,46.0,1.0
1497,40.0,0.19,5.0,47.0,1.0
1498,40.0,0.21375,5.0,48.0,1.0
1499,40.0,0.304375,5.0,49.0,1.0
1500,40.0,0.81625,10.0,0.0,0.05
1501,40.0,0.801875,10.0,1.0,0.05
1502,40.0,0.83,10.0,2.0,0.05
1503,40.0,0.800625,10.0,3.0,0.05
1504,40.0,0.835,10.0,4.0,0.05
1505,40.0,0.791875,10.0,5.0,0.05
1506,40.0,0.84125,10.0,6.0,0.05
1507,40.0,0.815,10.0,7.0,0.05
1508,40.0,0.7425,10.0,8.0,0.05
1509,40.0,0.811875,10.0,9.0,0.05
1510,40.0,0.82,10.0,10.0,0.05
1511,40.0,0.786875,10.0,11.0,0.05
1512,40.0,0.83125,10.0,12.0,0.05
1513,40.0,0.8425,10.0,13.0,0.05
1514,40.0,0.789375,10.0,14.0,0.05
1515,40.0,0.859375,10.0,15.0,0.05
1516,40.0,0.79375,10.0,16.0,0.05
1517,40.0,0.820625,10.0,17.0,0.05
1518,40.0,0.815,10.0,18.0,0.05
1519,40.0,0.82,10.0,19.0,0.05
1520,40.0,0.764375,10.0,20.0,0.05
1521,40.0,0.825625,10.0,21.0,0.05
1522,40.0,0.796875,10.0,22.0,0.05
1523,40.0,0.821875,10.0,23.0,0.05
1524,40.0,0.83875,10.0,24.0,0.05
1525,40.0,0.776875,10.0,25.0,0.05
1526,40.0,0.81875,10.0,26.0,0.05
1527,40.0,0.810625,10.0,27.0,0.05
1528,40.0,0.791875,10.0,28.0,0.05
1529,40.0,0.7375,10.0,29.0,0.05
1530,40.0,0.858125,10.0,30.0,0.05
1531,40.0,0.828125,10.0,31.0,0.05
1532,40.0,0.784375,10.0,32.0,0.05
1533,40.0,0.78625,10.0,33.0,0.05
1534,40.0,0.766875,10.0,34.0,0.05
1535,40.0,0.8475,10.0,35.0,0.05
1536,40.0,0.798125,10.0,36.0,0.05
1537,40.0,0.836875,10.0,37.0,0.05
1538,40.0,0.82875,10.0,38.0,0.05
1539,40.0,0.826875,10.0,39.0,0.05
1540,40.0,0.804375,10.0,40.0,0.05
1541,40.0,0.83875,10.0,41.0,0.05
1542,40.0,0.876875,10.0,42.0,0.05
1543,40.0,0.8375,10.0,43.0,0.05
1544,40.0,0.7825,10.0,44.0,0.05
1545,40.0,0.821875,10.0,45.0,0.05
1546,40.0,0.785,10.0,46.0,0.05
1547,40.0,0.78875,10.0,47.0,0.05
1548,40.0,0.785625,10.0,48.0,0.05
1549,40.0,0.830625,10.0,49.0,0.05
1550,40.0,0.779375,10.0,0.0,0.08275862068965517
1551,40.0,0.824375,10.0,1.0,0.08275862068965517
1552,40.0,0.8425,10.0,2.0,0.08275862068965517
1553,40.0,0.76875,10.0,3.0,0.08275862068965517
1554,40.0,0.76125,10.0,4.0,0.08275862068965517
1555,40.0,0.805,10.0,5.0,0.08275862068965517
1556,40.0,0.79625,10.0,6.0,0.08275862068965517
1557,40.0,0.84875,10.0,7.0,0.08275862068965517
1558,40.0,0.79625,10.0,8.0,0.08275862068965517
1559,40.0,0.82875,10.0,9.0,0.08275862068965517
1560,40.0,0.833125,10.0,10.0,0.08275862068965517
1561,40.0,0.775,10.0,11.0,0.08275862068965517
1562,40.0,0.83875,10.0,12.0,0.08275862068965517
1563,40.0,0.785,10.0,13.0,0.08275862068965517
1564,40.0,0.82125,10.0,14.0,0.08275862068965517
1565,40.0,0.781875,10.0,15.0,0.08275862068965517
1566,40.0,0.838125,10.0,16.0,0.08275862068965517
1567,40.0,0.76875,10.0,17.0,0.08275862068965517
1568,40.0,0.835625,10.0,18.0,0.08275862068965517
1569,40.0,0.76875,10.0,19.0,0.08275862068965517
1570,40.0,0.83625,10.0,20.0,0.08275862068965517
1571,40.0,0.798125,10.0,21.0,0.08275862068965517
1572,40.0,0.811875,10.0,22.0,0.08275862068965517
1573,40.0,0.829375,10.0,23.0,0.08275862068965517
1574,40.0,0.83375,10.0,24.0,0.08275862068965517
1575,40.0,0.785,10.0,25.0,0.08275862068965517
1576,40.0,0.790625,10.0,26.0,0.08275862068965517
1577,40.0,0.80625,10.0,27.0,0.08275862068965517
1578,40.0,0.843125,10.0,28.0,0.08275862068965517
1579,40.0,0.81375,10.0,29.0,0.08275862068965517
1580,40.0,0.87375,10.0,30.0,0.08275862068965517
1581,40.0,0.806875,10.0,31.0,0.08275862068965517
1582,40.0,0.819375,10.0,32.0,0.08275862068965517
1583,40.0,0.815625,10.0,33.0,0.08275862068965517
1584,40.0,0.7575,10.0,34.0,0.08275862068965517
1585,40.0,0.828125,10.0,35.0,0.08275862068965517
1586,40.0,0.805,10.0,36.0,0.08275862068965517
1587,40.0,0.835,10.0,37.0,0.08275862068965517
1588,40.0,0.7475,10.0,38.0,0.08275862068965517
1589,40.0,0.808125,10.0,39.0,0.08275862068965517
1590,40.0,0.81,10.0,40.0,0.08275862068965517
1591,40.0,0.84125,10.0,41.0,0.08275862068965517
1592,40.0,0.845625,10.0,42.0,0.08275862068965517
1593,40.0,0.781875,10.0,43.0,0.08275862068965517
1594,40.0,0.79125,10.0,44.0,0.08275862068965517
1595,40.0,0.81625,10.0,45.0,0.08275862068965517
1596,40.0,0.811875,10.0,46.0,0.08275862068965517
1597,40.0,0.7875,10.0,47.0,0.08275862068965517
1598,40.0,0.811875,10.0,48.0,0.08275862068965517
1599,40.0,0.84375,10.0,49.0,0.08275862068965517
1600,40.0,0.78,10.0,0.0,0.11551724137931034
1601,40.0,0.8,10.0,1.0,0.11551724137931034
1602,40.0,0.798125,10.0,2.0,0.11551724137931034
1603,40.0,0.748125,10.0,3.0,0.11551724137931034
1604,40.0,0.86375,10.0,4.0,0.11551724137931034
1605,40.0,0.82,10.0,5.0,0.11551724137931034
1606,40.0,0.84625,10.0,6.0,0.11551724137931034
1607,40.0,0.820625,10.0,7.0,0.11551724137931034
1608,40.0,0.815625,10.0,8.0,0.11551724137931034
1609,40.0,0.801875,10.0,9.0,0.11551724137931034
1610,40.0,0.735625,10.0,10.0,0.11551724137931034
1611,40.0,0.835625,10.0,11.0,0.11551724137931034
1612,40.0,0.7275,10.0,12.0,0.11551724137931034
1613,40.0,0.821875,10.0,13.0,0.11551724137931034
1614,40.0,0.818125,10.0,14.0,0.11551724137931034
1615,40.0,0.819375,10.0,15.0,0.11551724137931034
1616,40.0,0.838125,10.0,16.0,0.11551724137931034
1617,40.0,0.756875,10.0,17.0,0.11551724137931034
1618,40.0,0.843125,10.0,18.0,0.11551724137931034
1619,40.0,0.784375,10.0,19.0,0.11551724137931034
1620,40.0,0.8225,10.0,20.0,0.11551724137931034
1621,40.0,0.795,10.0,21.0,0.11551724137931034
1622,40.0,0.79625,10.0,22.0,0.11551724137931034
1623,40.0,0.80125,10.0,23.0,0.11551724137931034
1624,40.0,0.818125,10.0,24.0,0.11551724137931034
1625,40.0,0.83625,10.0,25.0,0.11551724137931034
1626,40.0,0.82125,10.0,26.0,0.11551724137931034
1627,40.0,0.785,10.0,27.0,0.11551724137931034
1628,40.0,0.805,10.0,28.0,0.11551724137931034
1629,40.0,0.825,10.0,29.0,0.11551724137931034
1630,40.0,0.834375,10.0,30.0,0.11551724137931034
1631,40.0,0.795,10.0,31.0,0.11551724137931034
1632,40.0,0.784375,10.0,32.0,0.11551724137931034
1633,40.0,0.8075,10.0,33.0,0.11551724137931034
1634,40.0,0.765625,10.0,34.0,0.11551724137931034
1635,40.0,0.84625,10.0,35.0,0.11551724137931034
1636,40.0,0.799375,10.0,36.0,0.11551724137931034
1637,40.0,0.8075,10.0,37.0,0.11551724137931034
1638,40.0,0.819375,10.0,38.0,0.11551724137931034
1639,40.0,0.82375,10.0,39.0,0.11551724137931034
1640,40.0,0.808125,10.0,40.0,0.11551724137931034
1641,40.0,0.7625,10.0,41.0,0.11551724137931034
1642,40.0,0.89375,10.0,42.0,0.11551724137931034
1643,40.0,0.77875,10.0,43.0,0.11551724137931034
1644,40.0,0.788125,10.0,44.0,0.11551724137931034
1645,40.0,0.806875,10.0,45.0,0.11551724137931034
1646,40.0,0.8475,10.0,46.0,0.11551724137931034
1647,40.0,0.8575,10.0,47.0,0.11551724137931034
1648,40.0,0.78,10.0,48.0,0.11551724137931034
1649,40.0,0.80375,10.0,49.0,0.11551724137931034
1650,40.0,0.8,10.0,0.0,0.1482758620689655
1651,40.0,0.7825,10.0,1.0,0.1482758620689655
1652,40.0,0.750625,10.0,2.0,0.1482758620689655
1653,40.0,0.76625,10.0,3.0,0.1482758620689655
1654,40.0,0.7875,10.0,4.0,0.1482758620689655
1655,40.0,0.83375,10.0,5.0,0.1482758620689655
1656,40.0,0.84375,10.0,6.0,0.1482758620689655
1657,40.0,0.83,10.0,7.0,0.1482758620689655
1658,40.0,0.84,10.0,8.0,0.1482758620689655
1659,40.0,0.855625,10.0,9.0,0.1482758620689655
1660,40.0,0.805625,10.0,10.0,0.1482758620689655
1661,40.0,0.7625,10.0,11.0,0.1482758620689655
1662,40.0,0.839375,10.0,12.0,0.1482758620689655
1663,40.0,0.8025,10.0,13.0,0.1482758620689655
1664,40.0,0.7775,10.0,14.0,0.1482758620689655
1665,40.0,0.816875,10.0,15.0,0.1482758620689655
1666,40.0,0.79125,10.0,16.0,0.1482758620689655
1667,40.0,0.839375,10.0,17.0,0.1482758620689655
1668,40.0,0.839375,10.0,18.0,0.1482758620689655
1669,40.0,0.813125,10.0,19.0,0.1482758620689655
1670,40.0,0.84625,10.0,20.0,0.1482758620689655
1671,40.0,0.830625,10.0,21.0,0.1482758620689655
1672,40.0,0.830625,10.0,22.0,0.1482758620689655
1673,40.0,0.845625,10.0,23.0,0.1482758620689655
1674,40.0,0.819375,10.0,24.0,0.1482758620689655
1675,40.0,0.785,10.0,25.0,0.1482758620689655
1676,40.0,0.825625,10.0,26.0,0.1482758620689655
1677,40.0,0.835,10.0,27.0,0.1482758620689655
1678,40.0,0.793125,10.0,28.0,0.1482758620689655
1679,40.0,0.858125,10.0,29.0,0.1482758620689655
1680,40.0,0.785,10.0,30.0,0.1482758620689655
1681,40.0,0.78,10.0,31.0,0.1482758620689655
1682,40.0,0.76375,10.0,32.0,0.1482758620689655
1683,40.0,0.79,10.0,33.0,0.1482758620689655
1684,40.0,0.835,10.0,34.0,0.1482758620689655
1685,40.0,0.794375,10.0,35.0,0.1482758620689655
1686,40.0,0.80875,10.0,36.0,0.1482758620689655
1687,40.0,0.799375,10.0,37.0,0.1482758620689655
1688,40.0,0.82875,10.0,38.0,0.1482758620689655
1689,40.0,0.795,10.0,39.0,0.1482758620689655
1690,40.0,0.813125,10.0,40.0,0.1482758620689655
1691,40.0,0.81375,10.0,41.0,0.1482758620689655
1692,40.0,0.79375,10.0,42.0,0.1482758620689655
1693,40.0,0.825625,10.0,43.0,0.1482758620689655
1694,40.0,0.789375,10.0,44.0,0.1482758620689655
1695,40.0,0.848125,10.0,45.0,0.1482758620689655
1696,40.0,0.833125,10.0,46.0,0.1482758620689655
1697,40.0,0.841875,10.0,47.0,0.1482758620689655
1698,40.0,0.875625,10.0,48.0,0.1482758620689655
1699,40.0,0.8025,10.0,49.0,0.1482758620689655
1700,40.0,0.80125,10.0,0.0,0.18103448275862066
1701,40.0,0.846875,10.0,1.0,0.18103448275862066
1702,40.0,0.816875,10.0,2.0,0.18103448275862066
1703,40.0,0.780625,10.0,3.0,0.18103448275862066
1704,40.0,0.79125,10.0,4.0,0.18103448275862066
1705,40.0,0.81,10.0,5.0,0.18103448275862066
1706,40.0,0.73625,10.0,6.0,0.18103448275862066
1707,40.0,0.806875,10.0,7.0,0.18103448275862066
1708,40.0,0.79125,10.0,8.0,0.18103448275862066
1709,40.0,0.805625,10.0,9.0,0.18103448275862066
1710,40.0,0.825,10.0,10.0,0.18103448275862066
1711,40.0,0.751875,10.0,11.0,0.18103448275862066
1712,40.0,0.790625,10.0,12.0,0.18103448275862066
1713,40.0,0.831875,10.0,13.0,0.18103448275862066
1714,40.0,0.7475,10.0,14.0,0.18103448275862066
1715,40.0,0.80875,10.0,15.0,0.18103448275862066
1716,40.0,0.835,10.0,16.0,0.18103448275862066
1717,40.0,0.796875,10.0,17.0,0.18103448275862066
1718,40.0,0.83625,10.0,18.0,0.18103448275862066
1719,40.0,0.819375,10.0,19.0,0.18103448275862066
1720,40.0,0.83125,10.0,20.0,0.18103448275862066
1721,40.0,0.794375,10.0,21.0,0.18103448275862066
1722,40.0,0.811875,10.0,22.0,0.18103448275862066
1723,40.0,0.8175,10.0,23.0,0.18103448275862066
1724,40.0,0.874375,10.0,24.0,0.18103448275862066
1725,40.0,0.823125,10.0,25.0,0.18103448275862066
1726,40.0,0.811875,10.0,26.0,0.18103448275862066
1727,40.0,0.821875,10.0,27.0,0.18103448275862066
1728,40.0,0.8025,10.0,28.0,0.18103448275862066
1729,40.0,0.82125,10.0,29.0,0.18103448275862066
1730,40.0,0.794375,10.0,30.0,0.18103448275862066
1731,40.0,0.758125,10.0,31.0,0.18103448275862066
1732,40.0,0.813125,10.0,32.0,0.18103448275862066
1733,40.0,0.7675,10.0,33.0,0.18103448275862066
1734,40.0,0.753125,10.0,34.0,0.18103448275862066
1735,40.0,0.76375,10.0,35.0,0.18103448275862066
1736,40.0,0.809375,10.0,36.0,0.18103448275862066
1737,40.0,0.809375,10.0,37.0,0.18103448275862066
1738,40.0,0.796875,10.0,38.0,0.18103448275862066
1739,40.0,0.79625,10.0,39.0,0.18103448275862066
1740,40.0,0.818125,10.0,40.0,0.18103448275862066
1741,40.0,0.82875,10.0,41.0,0.18103448275862066
1742,40.0,0.821875,10.0,42.0,0.18103448275862066
1743,40.0,0.725625,10.0,43.0,0.18103448275862066
1744,40.0,0.8525,10.0,44.0,0.18103448275862066
1745,40.0,0.72625,10.0,45.0,0.18103448275862066
1746,40.0,0.75875,10.0,46.0,0.18103448275862066
1747,40.0,0.80625,10.0,47.0,0.18103448275862066
1748,40.0,0.804375,10.0,48.0,0.18103448275862066
1749,40.0,0.758125,10.0,49.0,0.18103448275862066
1750,40.0,0.790625,10.0,0.0,0.21379310344827585
1751,40.0,0.818125,10.0,1.0,0.21379310344827585
1752,40.0,0.8475,10.0,2.0,0.21379310344827585
1753,40.0,0.816875,10.0,3.0,0.21379310344827585
1754,40.0,0.820625,10.0,4.0,0.21379310344827585
1755,40.0,0.81625,10.0,5.0,0.21379310344827585
1756,40.0,0.810625,10.0,6.0,0.21379310344827585
1757,40.0,0.8375,10.0,7.0,0.21379310344827585
1758,40.0,0.779375,10.0,8.0,0.21379310344827585
1759,40.0,0.804375,10.0,9.0,0.21379310344827585
1760,40.0,0.78125,10.0,10.0,0.21379310344827585
1761,40.0,0.799375,10.0,11.0,0.21379310344827585
1762,40.0,0.774375,10.0,12.0,0.21379310344827585
1763,40.0,0.765,10.0,13.0,0.21379310344827585
1764,40.0,0.7925,10.0,14.0,0.21379310344827585
1765,40.0,0.8275,10.0,15.0,0.21379310344827585
1766,40.0,0.7925,10.0,16.0,0.21379310344827585
1767,40.0,0.845,10.0,17.0,0.21379310344827585
1768,40.0,0.72375,10.0,18.0,0.21379310344827585
1769,40.0,0.799375,10.0,19.0,0.21379310344827585
1770,40.0,0.786875,10.0,20.0,0.21379310344827585
1771,40.0,0.788125,10.0,21.0,0.21379310344827585
1772,40.0,0.805,10.0,22.0,0.21379310344827585
1773,40.0,0.825625,10.0,23.0,0.21379310344827585
1774,40.0,0.77625,10.0,24.0,0.21379310344827585
1775,40.0,0.79125,10.0,25.0,0.21379310344827585
1776,40.0,0.79125,10.0,26.0,0.21379310344827585
1777,40.0,0.82,10.0,27.0,0.21379310344827585
1778,40.0,0.763125,10.0,28.0,0.21379310344827585
1779,40.0,0.814375,10.0,29.0,0.21379310344827585
1780,40.0,0.8325,10.0,30.0,0.21379310344827585
1781,40.0,0.793125,10.0,31.0,0.21379310344827585
1782,40.0,0.7725,10.0,32.0,0.21379310344827585
1783,40.0,0.810625,10.0,33.0,0.21379310344827585
1784,40.0,0.78375,10.0,34.0,0.21379310344827585
1785,40.0,0.78375,10.0,35.0,0.21379310344827585
1786,40.0,0.785625,10.0,36.0,0.21379310344827585
