,phenotype,count
0,000011000010,108
1,111111010010,16
2,011101101101,250
3,001111100001,2073
4,110111011010,62
5,111001110111,33
6,011010011011,153
7,110111011000,40
8,100101100011,16
9,011110101111,28
10,011010011001,173
11,101111100001,5274
12,110111001000,12
13,111101110100,30
14,010010011011,529
15,101101100011,423
16,110010001011,256
17,101101011001,69
18,110110001101,29
19,011011101011,5221
20,101101110101,841
21,010011000000,80
22,001111100111,224
23,101101010001,830
24,101111111001,182
25,101101101001,223
26,111111111110,611
27,100000010000,30
28,001011000011,104
29,011011111011,353
30,010111110011,27
31,001101101111,230
32,111111101111,1066
33,001010111011,34
34,001101110001,383
35,011010101111,112
36,111000011011,36
37,101111011111,82
38,111111111111,1908
39,011011111110,86
40,010011001011,191
41,011010010010,53
42,111101111101,306
43,111011011000,11
44,101111111111,1184
45,010010010000,278
46,111111111101,1144
47,011111101111,622
48,111101111111,794
49,010110011110,32
50,110110111001,6
51,011011011010,92
52,111011101101,331
53,111011101011,235
54,000001011000,12
55,101101100001,957
56,011010011010,89
57,000010011110,19
58,011010101011,422
59,111001111101,46
60,101101111111,983
61,011111111110,140
62,101111101111,346
63,101101111000,54
64,001111100100,31
65,111111111011,246
66,010000011011,99
67,101111110111,663
68,000001000001,120
69,111111001101,90
70,101001111011,113
71,110101111111,149
72,000101000111,12
73,001101100001,1203
74,111101111011,1008
75,110010010001,118
76,000001000110,47
77,001000000001,33
78,001111100011,216
79,000111100001,29
80,111001010010,9
81,010001010010,36
82,011001100111,29
83,111111011011,48
84,011011101111,483
85,110010011010,172
86,001101100101,689
87,110010101000,7
88,011010000001,338
89,011101100101,80
90,001101101101,378
91,101101111101,486
92,010010011001,392
93,101011101101,86
94,001000100011,8
95,111001101101,31
96,011011111010,355
97,001010001111,6
98,011111111001,41
99,011010101010,111
100,010010000010,133
101,101101110001,1966
102,110011010011,22
103,101111110101,562
104,110001001010,23
105,111010111111,154
106,111101010101,199
107,011101101111,299
108,101111111100,83
109,110010001001,182
110,110110011010,74
