,sample_number,num_phenotypes
0,1,0
1,4,1
2,5,2
3,6,3
4,7,4
5,8,5
6,19,6
7,22,7
8,23,8
9,26,9
10,27,10
11,28,11
12,31,12
13,33,13
14,37,14
15,42,15
16,44,16
17,45,17
18,49,18
19,50,19
20,51,20
21,55,21
22,60,22
23,61,23
24,63,24
25,64,25
26,79,26
27,82,27
28,83,28
29,84,29
30,89,30
31,91,31
32,108,32
33,110,33
34,118,34
35,120,35
36,121,36
37,122,37
38,133,38
39,134,39
40,136,40
41,140,41
42,151,42
43,154,43
44,158,44
45,215,45
46,217,46
47,223,47
48,227,48
49,237,49
50,249,50
51,250,51
52,256,52
53,262,53
54,280,54
55,281,55
56,290,56
57,297,57
58,301,58
59,317,59
60,331,60
61,362,61
62,386,62
63,396,63
64,407,64
65,408,65
66,409,66
67,445,67
68,448,68
69,456,69
70,467,70
71,480,71
72,588,72
73,641,73
74,689,74
75,703,75
76,710,76
77,729,77
78,737,78
79,742,79
80,771,80
81,790,81
82,817,82
83,884,83
84,897,84
85,929,85
86,944,86
87,994,87
88,1080,88
89,1094,89
90,1225,90
91,1259,91
92,1343,92
93,1409,93
94,1487,94
95,1590,95
96,1661,96
97,1984,97
98,2000,98
99,2026,99
100,2090,100
101,2138,101
102,2267,102
103,2318,103
104,2333,104
105,2384,105
106,2578,106
107,3368,107
108,5107,108
109,5493,109
110,6204,110
111,8820,111
112,12000,112
113,13293,113
