,phenotype,count
0,0100100,4044
1,0001101,3823
2,0000010,2642
3,1111101,5640
4,1111011,6518
5,0001001,2686
6,1100010,33794
7,0011111,31910
8,1011101,1727
9,1111111,4150
10,0011101,2241
11,1101111,2775
12,1111001,385
13,0111101,6025
14,0100010,616
15,0001111,1634
16,1101011,2205
17,1011011,724
18,1110110,700
19,0101011,266
20,0111111,1606
21,1000100,2082
22,0111011,3931
23,1100000,4164
24,1100100,1343
25,1100110,2715
26,0111001,969
27,0000100,2993
28,0110100,1689
29,0001011,2364
30,0010110,329
31,0000110,1018
32,1001001,1660
33,0110010,197
34,0110000,159
35,0101111,196
36,0010100,1932
37,1000000,500
38,1011111,266
39,1001101,555
40,1000110,185
41,1011001,451
42,0000000,655
43,1110010,463
44,1110100,194
45,0011011,460
46,0100110,418
47,0011001,352
48,0100000,415
49,1010100,359
50,1010000,101
51,0101101,213
52,1101101,121
53,0110110,92
54,1101001,135
55,1010110,52
56,0010000,113
57,1110000,48
