,phenotype,count
0,101101000,38649
1,010110111,36156
2,111111111,1696
3,111000111,407
4,011010111,2146
5,101101111,7186
6,010001000,47
7,000110000,2705
8,000111000,313
9,111011000,574
10,111110111,1450
11,010010111,5966
12,111010111,4987
13,110111111,273
14,101001000,439
15,000101111,1199
16,111011111,4285
17,111010000,841
18,110010000,215
19,000100000,2630
20,110010111,1978
21,111101111,787
22,001110000,1791
23,010000000,155
24,010011111,996
25,111101000,2603
26,000010000,60
27,010100000,2002
28,010101111,275
29,110110111,2243
30,011110000,304
31,101111000,3206
32,111001111,1789
33,110110000,94
34,000101000,680
35,001100111,691
36,111001000,600
37,101001111,1293
38,111111000,1021
39,000011111,56
40,011010000,256
41,101010000,296
42,010111111,868
43,010110000,1079
44,100111111,148
45,101100111,2303
46,101011000,314
47,111000000,413
48,101011111,341
49,011110111,460
50,010010000,97
51,110011111,145
52,101000111,2156
53,100101111,204
54,000100111,476
55,001100000,418
56,111110000,377
57,100110000,95
58,000111111,245
59,110111000,47
60,101010111,356
61,111100111,85
62,101111111,461
63,000001111,219
64,101000000,178
65,011100000,191
66,100111000,109
67,000000111,60
68,111100000,120
69,100100000,327
70,010100111,88
71,000010111,165
72,010111000,100
73,101110000,93
74,100110111,56
75,001010111,170
76,100100111,315
77,010101000,334
78,010000111,149
79,010001111,123
80,011000111,58
81,000110111,225
82,100010000,50
83,110101111,86
84,000000000,46
85,100101000,55
86,101110111,91
87,100010111,47
88,100011111,59
89,101100000,58
