,phenotype,count
0,00000000000000000000,24332
1,00000000000000000001,207
2,11010000001001011101,4
3,10000000001000000100,593
4,10000010001001001100,24
5,00000000000001011000,14
6,10000010000100001001,1
7,11010010101101000100,1
8,01100110000000001001,345
9,00000000010000000000,3498
10,10000000110000000100,196
11,00000000101000000000,117
12,10000010011101011100,1
13,10000000101101111101,21
14,00000000011000000000,5464
15,00000000001000000000,3607
16,10000000100000010100,1271
17,10000000101001010100,1398
18,10000000101001000100,7077
19,11010000100101101101,7
20,00000001101011000000,5
21,01100110000100001001,5323
22,00100110000100001001,250
23,01110110000100001001,442
24,01010000001100101000,2
25,01010011000110001001,4
26,00001000000000000000,1134
27,01100110100000101001,235
28,10000001100100000100,15
29,10001010101001001000,1
30,10000000011000000100,477
31,10000000010001000100,498
32,10000000101000010100,473
33,00100110110000001001,7
34,01110110000000101001,608
35,11010000100101001100,1
36,10000000100001000100,2325
37,10000000000000000100,1865
38,11010010110101000001,1
39,10000000111001011100,115
40,01000010000010001001,223
41,10000110100000001000,2
42,10100000100001010101,11
43,10000000000000000000,297
44,00000010001000000000,15
45,11010010000100010101,5
46,00010000000000000000,1416
47,00000000001001000100,27
48,01110010000100001001,141
49,00000110100100001001,20
50,01100000000000000001,161
51,10000000000001000000,646
52,01100110000110001001,104
53,01000010010010001001,3
54,01110000000010001001,21
55,10000000111001010000,45
56,10000000100001000000,676
57,00000110000110001001,15
58,11010110110100101101,3
59,10100010000100001001,4
60,00000000000100001001,25
61,00000000000000010000,465
62,10100010100101111100,3
63,10000000000001000100,1010
64,01000100000100001000,22
65,10000000011001000100,269
66,10000000010000000100,488
67,10000000100001010100,2203
68,01100100000000000001,143
69,00000000100000010000,616
70,10100010100010011000,1
71,01100010000110101010,1
72,10000000001001000100,708
73,00100100000000000001,65
74,10000000110001010100,438
75,10000000111001001100,55
76,00000010101001100000,2
77,01100010010100000011,4
78,10000001000001010100,4
79,11000000010001100100,1
80,00000000010000100001,7
81,00000000000000000100,147
82,11110100100100001101,19
83,00000001101001000000,5
84,00000110000000001000,131
85,10000010000100011101,3
86,00000000100101000000,55
87,00000001000110000000,371
88,10000000101000000100,268
89,00000000100000000000,383
90,01100110100100001011,56
91,01000010000100001001,135
92,00000000000100000000,803
93,01000010010000001000,8
94,10010010100000001000,1
95,00100010000010101001,33
96,00100010000000000011,29
97,00100110000000001000,120
98,00000000101011000000,21
99,00010010000000001000,39
100,01000100110000100001,26
101,10100000101101101101,3
102,01010000000100100001,17
103,10000010011001011100,6
104,10000000100101111101,15
105,00000011000010001000,29
106,10000000101001011100,671
107,11110010100101101111,1
108,10000010000100011100,14
109,00000001000000000000,1467
110,01100010100100101001,68
111,11110000110100001101,4
112,10000000100101001101,27
113,00000100001000000001,29
114,11100110101001000100,1
115,01110110000010001001,100
116,00000110000000001001,54
117,11010010100101000101,3
118,00000001000010000000,1073
119,00100110000100101001,135
120,01000100000010001001,16
121,00000000000110000000,435
122,10000000100000000100,619
123,00000000000001000000,803
124,00000000101001001000,16
125,01000000000010100001,11
126,10010000000000000000,10
127,00000010000100000000,10
128,11110010000101001101,3
129,01100110000000101010,4
130,10100100010000010100,1
131,10000000101001000000,394
132,00100110011000000010,2
133,01100110100100001001,570
134,10000000110000010100,558
135,00000000000011000001,1
136,11100010001011101001,5
137,01100010000100001001,446
138,11100110101001101001,1
139,01000010000000101001,62
140,01000101000000000000,1
141,01000000001010001000,3
142,11100110000100001101,58
143,00100110000000101001,120
144,11110010000101011101,14
145,11000000101101010100,1
146,11010000101101101101,66
147,01100100000100000011,4
148,10000000100001010000,458
149,00100100100000100000,13
150,10000000001001000000,255
151,10000010101101101101,40
152,00000000011001001000,11
153,10000010001011001100,16
154,10000010000000011100,22
155,00100110100000101001,62
156,10100010101001001100,10
157,01100010000100000001,26
158,00001010000100001000,6
159,00000000000001010000,223
160,00000010000010001010,9
161,11000010111100011100,1
162,11000000101101001101,14
163,01100110000100000001,94
164,10000000111000010000,20
165,10100100011001000001,1
166,00100010000010101000,43
167,00000000011001010100,2
168,01010110000101001000,1
169,10010000001000010100,1
170,01100110000100001000,108
171,01100010000000000011,102
172,11110110000100001101,247
173,11010000101100101101,6
174,01000000000100001000,71
175,00000000001001000000,213
176,10000000000101000100,16
177,01100000010000101001,4
178,10000000110001011100,53
179,00000010000000001000,631
180,01000010010000101001,6
181,01110010100100001001,74
182,01010010000110001000,11
183,00000000000010000000,993
184,10000000010000010100,200
185,00000010100000001001,18
186,01100010100010001001,59
187,00000000110001000100,13
188,01100110100100101001,267
189,01100110000101000000,5
190,11010000000100011101,9
191,00100110100000000000,20
192,00000001000001010000,2
193,11000100101101101010,1
194,01010000100000001000,10
195,11100110100000000111,3
196,01010000100000101001,23
197,00000000000000000010,61
198,01000110100000101001,255
199,10010000000000000100,76
200,10100010011001101100,1
201,00000010000100101000,23
202,00000000100001000100,101
203,11000010100101001101,5
204,01100110100010101000,4
205,01000010000010001000,193
206,00000010100010101000,15
207,00000110101001001101,1
208,00000000000000001001,12
209,00000010011000000000,11
210,00000001101111000000,1
211,10000000000000010100,863
212,01000110000100101001,77
213,10010010101101101100,2
214,00000001000100000000,664
215,01100110000100101001,641
216,01100100010000000001,5
217,01100000100100001001,35
218,10000000011001001000,9
219,00100010000100001000,58
220,10100000000000010000,1
221,11000000111100101100,2
222,01000110000100001000,86
223,01100100100100001011,7
224,01100010100000101001,42
225,10000010101001001100,254
226,01010010100000001000,61
227,10000000110011000100,5
228,10000000001001010000,72
229,11000000101001000100,12
230,01100010000110101001,31
231,10000010101101101100,19
232,11100110100100001011,1
233,01100010000000001001,168
234,10000000101100010100,3
235,01100110000100101011,17
236,10100010100100101101,29
237,01000110100100001001,75
238,00000010101101001000,10
239,01010100000100001001,40
240,10000000001000000000,90
241,00010010100100001001,7
242,11100010101101001000,5
243,10100010100000000000,3
244,00000000000001000100,131
245,00100010000100000001,18
246,10100010100001010101,6
247,10010000100000000100,16
248,11000000001001001100,1
249,01000010010000000001,3
250,00000000100001010000,401
251,01000001000110101001,1
252,01100010000110100011,8
253,01000100110100000000,1
254,11100110000100101101,24
255,11110110100100001101,55
256,00100110011100000000,3
257,10000000000001010000,132
258,01010000100110001001,15
259,01010000100100001001,62
260,00100000100000010001,11
261,10000000100001011100,202
262,01110110000100101001,355
263,00100010100100001000,26
264,01100010000010001000,81
265,01100110000000101001,408
266,11010000100101001000,2
267,10000000101000010000,35
268,00000010000100001000,114
269,11110010100100001101,29
270,01100010100100001000,96
271,01110110000000001001,160
272,01010010110000000000,4
273,00100010011000001000,22
274,10100110001001001001,2
275,01110100000100101001,37
276,01110010000000101001,72
277,01010010000010000001,12
278,01100110100100100011,8
279,00000010000000000000,85
280,01100110100100001000,54
281,10000000101101111100,7
282,10000010101001011100,91
283,01010110101100001001,2
284,00100010101001000000,4
285,11000100111001000100,5
286,01000100100010101001,3
287,01110010000000011001,1
288,00000100000000000000,266
289,00010010000100001001,8
290,00000000101001000000,500
291,01100110000110100001,7
292,10000000000001011101,7
293,01000110100010001001,41
294,10100000101001001101,2
295,00100110010010000001,1
296,01000100000100000001,17
297,01010000100100000001,12
298,11000010100110101101,12
299,10000000001000010100,181
300,01100110000010101100,1
301,00000100100000000000,101
302,00000100000010000000,34
303,10000000101000011100,16
304,01000110000110100001,13
305,01000011100100001000,5
306,11110010010100011101,3
307,01100100100100000001,19
308,01000010100000001001,28
309,01010000100100101001,70
310,10000010000000000101,3
311,01010110000000001001,25
312,00000100000000000001,89
313,01100110100110101001,47
314,01100110000010101001,171
