,phenotype,count
0,000000000000,31048
1,001001100110,27
2,010010001000,163
3,110000000000,637
4,000001000001,258
5,000001000000,1323
6,110011001000,2924
7,000000000001,10251
8,100010001000,1444
9,010001000110,1144
10,001011000011,54
11,100011001000,1692
12,110001001000,7303
13,000010000101,47
14,011111100010,758
15,010001000000,748
16,011111000010,350
17,000010000011,40
18,000001000010,476
19,100000000000,2927
20,010000000100,130
21,100010000001,187
22,110001001010,920
23,011011100010,1042
24,110000000110,7
25,011000100001,14
26,111011101010,294
27,000011001001,30
28,010101000011,382
29,010111000111,5015
30,011011001011,12
31,011111000011,347
32,011000000011,16
33,011110000110,70
34,010000000001,299
35,010011000010,629
36,000000001000,1569
37,100000001001,198
38,011001100000,132
39,111011100010,740
40,000010000010,49
41,111111000110,148
42,011010100010,371
43,011001000011,270
44,100001001000,1567
45,100010000000,1871
46,111111100110,222
47,111111100010,252
48,110111000110,176
49,100101010100,12
50,000100000100,1374
51,100001001010,29
52,100100000000,87
53,011001100110,122
54,010100010010,2
55,110010001000,1055
56,110110100010,41
57,011110000010,245
58,111111000011,87
59,000100000000,1263
60,011100000001,9
61,010001000010,3259
62,110001000000,847
63,110011000000,1408
64,011010000000,46
65,000001001000,710
66,111111100111,51
67,000100010100,694
68,000001001010,31
69,011010000010,150
70,111101100010,30
71,011111000110,570
72,010001100000,136
73,111111000000,5
74,011110100110,250
75,111011101000,136
76,010001100010,407
77,001100000011,3
78,010011000100,20
79,000100010001,31
80,100011000000,1061
81,110010100010,82
82,000010000111,18
83,110000001000,1091
84,011011000010,443
85,011000100010,103
86,011010100011,167
87,010011000000,217
88,000000010000,724
89,100000001000,1627
90,011111100011,143
91,110110100110,324
92,100110000110,5
93,010011001000,663
94,011011100000,81
95,110001000010,631
96,011110100010,220
97,011001100111,10
98,010001001001,156
99,110111100111,29
100,000010000000,1614
101,011011000111,230
102,000100010000,586
103,100000100000,89
104,010001000111,139
105,001001100010,68
106,000000000100,906
107,011111100110,469
108,010001010000,10
109,011001000010,899
110,100000000111,9
111,111001100110,48
112,000000010100,678
113,010111100110,286
114,010001100011,78
115,011011000011,208
116,001001000011,40
117,001110000000,49
118,010011100010,632
119,000011001000,348
120,011001101010,47
121,010011000110,340
122,010101100110,47
123,010110100110,1013
124,010010100001,33
125,110011000010,138
126,111110000010,48
127,000111000000,21
128,010100000110,23
129,111011100011,64
130,011111100111,87
131,100010001110,19
132,010010100010,307
133,010111100010,351
134,000010001000,616
135,010111010110,6
136,000000000110,190
137,010110100010,227
138,100001000000,824
139,100100010100,48
140,010000000000,959
141,011001100010,492
142,010011000011,225
143,010111000110,1077
144,001000000000,257
145,110001001111,3
146,100011000010,33
147,011010100001,5
148,000001000110,237
149,010011100011,149
150,010111000011,558
151,010001000011,727
152,001100000110,5
153,011101000010,130
154,010000000011,56
155,000001000100,174
156,110110001000,4
157,011001001010,38
158,110010100000,24
159,000000000101,75
160,100000000001,655
161,010001001000,757
162,010011000111,203
163,110001001110,101
164,010110000001,57
165,110010000000,542
166,011111000111,1120
167,010000000010,221
168,011011100100,14
169,010010100011,105
170,011001000111,75
171,110010001001,37
172,000011000000,290
173,000010001001,55
174,011101000011,171
175,011000100110,48
176,010111000010,315
177,011001000110,251
178,010101010101,2
179,110111001010,7
180,111111101000,61
181,000000000010,225
182,000110100110,6
183,100110000100,28
184,010000100000,186
185,001000000010,66
186,000010010000,20
187,010111100011,148
188,110011100000,70
189,111111101010,109
190,110011000111,5
191,011000000010,54
192,100011000001,55
193,010101000010,267
194,000111000011,7
195,000101001100,11
196,100010001001,53
197,110001100100,10
198,000100010101,26
199,010011100110,147
200,100001011100,4
201,100001000001,131
202,000101010000,15
203,111001100010,153
204,000110000001,40
205,010000001000,345
206,100100001000,22
207,111011100110,161
208,100010001100,23
209,100011000100,15
210,010000010100,13
211,010010000110,73
212,111001000011,49
213,110001100011,13
214,011110000011,211
215,100000000100,71
216,110010000010,23
217,011001000000,51
218,110011101000,174
219,011011100110,301
220,111001000010,299
221,010010000001,162
222,110011001001,102
223,111100100000,1
224,110001000011,56
225,110101001100,17
226,010010000000,294
227,010000000111,27
228,011011100011,261
229,111011000010,242
230,000010000001,358
231,010100000011,3
232,010001000001,163
233,001010000100,37
234,001001000001,27
235,100000101000,60
236,010000100001,59
237,010111001000,4
238,000000011000,10
