,sample_number,num_phenotypes
0,1,0
1,2,1
2,4,2
3,6,3
4,8,4
5,9,5
6,11,6
7,19,7
8,23,8
9,24,9
10,27,10
11,28,11
12,32,12
13,34,13
14,38,14
15,44,15
16,45,16
17,55,17
18,89,18
19,95,19
20,97,20
21,106,21
22,109,22
23,112,23
24,119,24
25,122,25
26,145,26
27,149,27
28,173,28
29,192,29
30,200,30
31,207,31
32,230,32
33,262,33
34,263,34
35,291,35
36,311,36
37,316,37
38,325,38
39,334,39
40,366,40
41,368,41
42,381,42
43,409,43
44,410,44
45,450,45
46,471,46
47,473,47
48,508,48
49,522,49
50,529,50
51,565,51
52,662,52
53,713,53
54,736,54
55,749,55
56,752,56
57,755,57
58,788,58
59,802,59
60,879,60
61,941,61
62,1003,62
63,1047,63
64,1058,64
65,1076,65
66,1091,66
67,1102,67
68,1106,68
69,1120,69
70,1145,70
71,1181,71
72,1317,72
73,1378,73
74,1468,74
75,1481,75
76,1513,76
77,1564,77
78,1579,78
79,1668,79
80,1731,80
81,1747,81
82,1841,82
83,1865,83
84,1956,84
85,1970,85
86,1990,86
87,2297,87
88,2302,88
89,2487,89
90,2539,90
91,2598,91
92,2676,92
93,3378,93
94,3804,94
95,3857,95
96,3863,96
97,3947,97
98,4358,98
99,4894,99
100,5210,100
101,5869,101
102,6526,102
103,10084,103
104,23568,104
