,phenotype,count
0,111111100,32
1,100000111,16
2,000111011,8
3,011101110,10
4,100010110,13
5,101111011,35
6,111111101,52
7,010110110,15
8,110111101,48
9,111100010,17
10,101011110,28
11,011000001,7
12,010010000,9
13,111010010,24
14,001110001,15
15,101011011,53
16,001000101,8
17,100010100,17
18,110100001,24
19,000110001,29
20,110001111,27
21,100100101,19
22,011110101,31
23,010111101,57
24,111111001,37
25,011101100,16
26,101011010,22
27,110111110,25
28,010111110,21
29,101000111,24
30,111011000,19
31,110100111,31
32,110100100,23
33,101101001,27
34,010111100,35
35,111111111,49
36,100100000,12
37,011111111,30
38,010101101,40
39,100010111,27
40,000110110,11
41,110111100,30
42,110110110,15
43,000110000,9
44,111100011,15
45,100110001,21
46,000011011,10
47,010000000,14
48,000001011,9
49,111101011,18
50,101100111,23
51,011101010,5
52,101111101,29
53,000111010,11
54,010011101,43
55,101010000,15
56,110011110,25
57,010110101,82
58,111011001,29
59,111000110,7
60,000011100,15
61,011110001,22
62,111001011,23
63,011100101,26
64,010010111,19
65,001010001,7
66,001010111,13
67,011100001,11
68,010101000,6
69,100101111,24
70,111000111,21
71,001001001,8
72,000000001,19
73,100100111,23
74,010001101,31
75,110010111,28
76,001000001,14
77,100110110,16
78,101000011,22
79,101101111,36
80,000111100,15
81,010100101,44
82,010110001,33
83,010000111,14
84,010001111,16
85,101100001,18
86,110100110,21
87,111011111,55
88,100010101,20
89,011010101,16
90,000010111,8
91,100001010,17
92,100001110,17
93,111001111,32
94,010100001,22
95,001001101,15
96,011111110,17
97,100010011,21
98,001101101,16
99,110000101,20
100,101110010,13
101,101110111,35
102,110010001,29
103,111110001,17
104,100011000,12
105,100001100,7
106,101110101,18
107,111011101,34
108,110111011,19
109,011111101,54
110,010100000,15
111,111011011,26
112,000011110,6
113,111110100,25
114,011110000,8
115,100101001,17
116,111101101,33
117,011000010,4
118,110011011,20
119,110110111,30
120,010001110,17
121,010110011,13
122,101101101,23
123,111010000,21
124,110001110,31
125,110000010,9
126,111100001,28
127,101011111,71
128,111001000,13
129,111110111,30
130,101010001,22
131,001111101,21
132,110110101,42
133,100011110,16
134,101111111,46
135,110010011,12
136,111111011,24
137,110000001,19
138,111101111,23
139,110010110,15
140,101111100,16
141,111100111,33
142,111010101,27
143,110001101,27
144,000010000,11
145,101011001,42
146,110111001,19
147,000011111,5
148,010000010,3
149,110010100,23
150,101011101,59
151,001010101,20
152,100000001,14
153,010010100,41
154,001110101,14
155,100000100,10
156,111000010,8
157,010000011,10
158,011001011,8
159,010101001,25
160,100000101,11
161,110011101,33
162,111010011,25
163,110010101,30
164,111111010,15
165,111101100,17
166,110000100,12
167,001001111,14
168,000110100,13
169,100111111,31
170,010000100,20
171,100010000,16
172,100101010,5
173,100000011,12
174,001100101,16
175,111001001,11
176,011011100,19
177,010100010,9
178,111111000,12
179,100011001,24
180,100101101,24
181,100001000,10
182,011101101,27
183,110110000,15
184,111010110,20
185,100011101,25
186,110111111,39
187,110101111,26
188,001101111,17
189,111000100,17
190,101001010,11
191,101111110,31
192,111011110,21
193,111100101,35
194,100110000,17
195,000101101,11
196,010000001,18
197,110101010,12
198,100111100,16
199,110100010,12
200,101001101,27
201,011000100,9
202,111111110,39
203,000101010,12
204,101110100,13
205,100111110,22
206,100011111,22
207,111101110,31
208,011111001,19
209,110011100,19
210,001011111,13
211,100011011,22
212,001100001,15
213,100111101,27
214,000011010,5
215,010011001,21
216,110000111,19
217,010111001,23
218,101100100,13
219,001110110,8
220,111001110,22
221,100001011,11
222,101000001,16
223,110001001,13
224,101010011,33
225,010111111,30
226,111010111,38
227,111001100,22
228,000111101,17
229,101110011,19
230,011100111,17
231,101011100,28
232,101101010,13
233,001100111,8
234,011110111,15
235,010000101,25
236,101111000,22
237,101000000,7
238,101000110,11
239,101000101,14
240,111001101,23
241,000110011,9
242,010100111,19
243,000110010,6
244,100001001,15
245,000001001,8
246,110101110,16
247,110100101,26
248,010100100,20
249,111110110,29
250,000111111,18
251,010010101,37
252,111010001,18
253,010011111,20
254,000110101,26
255,100100001,19
256,010011010,9
257,001101001,5
258,011001111,11
259,011001101,17
260,100000010,7
261,101100011,20
262,101001111,34
263,110111000,15
264,100010001,19
265,000011101,15
266,010011011,11
267,010101110,11
268,111110010,16
269,010110111,17
270,110101101,26
271,010101111,26
272,010011110,20
