,phenotype,count
0,0111101,23
1,0101011,11
2,0111001,12
3,1011110,10
4,0111100,16
5,0001101,15
6,1000101,3
7,1100101,5
8,0101001,4
9,1110101,18
10,1111010,12
11,0101000,4
12,0001001,8
13,0011011,4
14,1001111,11
15,0001010,2
16,1110000,4
17,1111101,43
18,1100000,4
19,0011001,7
20,1110111,8
21,0001011,35
22,1111001,14
23,1000110,5
24,0111011,15
25,0100011,4
26,0000110,4
27,1010100,12
28,1011101,21
29,0101101,8
30,0010000,5
31,0110110,5
32,0000100,2
33,0000000,10
34,1001101,6
35,1101101,7
36,0001110,5
37,1110100,21
38,0110011,7
39,0000111,4
40,1000001,6
41,1111011,6
42,0110101,7
43,0110100,8
44,0000011,9
45,1111100,21
46,0010100,5
47,1010110,12
48,0110010,2
49,1111111,28
50,1000111,3
51,0111110,3
52,1011001,7
53,0010101,6
54,0000001,4
55,1011111,16
56,0100000,2
57,0110000,4
58,0010110,10
59,0011111,11
60,1111110,17
61,1111000,8
62,0011110,5
63,0111111,12
64,0100010,3
65,0011010,8
66,1001100,5
67,1110011,5
68,1001001,7
69,1001110,4
70,1010001,2
71,1001011,14
72,0110111,10
73,1110001,9
74,1100010,5
75,1011000,10
76,0010010,8
77,0100110,6
78,1101111,12
79,0010111,5
80,1110110,11
81,1101011,4
82,0111000,5
83,0001111,13
84,0101010,4
85,1010111,3
86,0000101,4
87,1100100,2
88,1100110,6
89,1011100,6
90,1000100,3
91,0111010,9
92,1010010,5
93,0110001,5
94,0101100,5
95,0000010,9
96,0001000,6
97,0101110,4
98,1101100,6
99,1010101,7
100,1101010,6
101,0011101,10
102,1000011,6
103,1010011,4
104,0100101,6
105,0011100,4
106,0100111,3
107,1010000,2
108,0101111,9
109,1101110,4
110,1011011,4
111,0001100,2
112,1000000,1
113,1110010,4
114,1100001,2
115,1101000,1
116,1101001,3
117,1000010,5
118,0100001,3
119,1100011,2
120,0011000,4
121,1011010,2
122,0100100,1
123,0010011,1
124,1001010,4
125,1001000,2
126,1100111,3
127,0010001,1
