,sample_number,num_phenotypes
0,1,0
1,2,1
2,3,2
3,4,3
4,5,4
5,6,5
6,8,6
7,9,7
8,10,8
9,11,9
10,12,10
11,13,11
12,15,12
13,16,13
14,17,14
15,21,15
16,23,16
17,24,17
18,25,18
19,26,19
20,27,20
21,28,21
22,31,22
23,32,23
24,34,24
25,35,25
26,36,26
27,39,27
28,41,28
29,42,29
30,43,30
31,45,31
32,46,32
33,49,33
34,52,34
35,53,35
36,56,36
37,57,37
38,60,38
39,61,39
40,63,40
41,65,41
42,68,42
43,72,43
44,76,44
45,86,45
46,88,46
47,92,47
48,93,48
49,95,49
50,100,50
51,103,51
52,104,52
53,107,53
54,112,54
55,114,55
56,118,56
57,122,57
58,126,58
59,134,59
60,136,60
61,142,61
62,143,62
63,150,63
64,152,64
65,154,65
66,158,66
67,170,67
68,198,68
69,199,69
70,200,70
71,201,71
72,204,72
73,219,73
74,222,74
75,238,75
76,243,76
77,245,77
78,246,78
79,259,79
80,282,80
81,283,81
82,308,82
83,322,83
84,325,84
85,330,85
86,347,86
87,352,87
88,365,88
89,378,89
90,380,90
91,405,91
92,413,92
93,418,93
94,451,94
95,485,95
96,526,96
97,536,97
98,544,98
99,556,99
100,559,100
101,568,101
102,569,102
103,574,103
104,587,104
105,599,105
106,600,106
107,607,107
108,611,108
109,745,109
110,771,110
111,773,111
112,777,112
113,842,113
114,953,114
115,1038,115
116,1095,116
117,1257,117
118,1506,118
119,1682,119
120,1691,120
121,1819,121
122,2016,122
123,2063,123
124,2580,124
125,2726,125
126,3019,126
127,3619,127
