,sample_number,num_phenotypes
0,1,0
1,2,1
2,3,2
3,5,3
4,6,4
5,8,5
6,10,6
7,11,7
8,13,8
9,19,9
10,20,10
11,21,11
12,22,12
13,23,13
14,24,14
15,25,15
16,27,16
17,29,17
18,30,18
19,34,19
20,36,20
21,38,21
22,39,22
23,40,23
24,41,24
25,42,25
26,45,26
27,46,27
28,50,28
29,52,29
30,54,30
31,55,31
32,57,32
33,59,33
34,60,34
35,61,35
36,62,36
37,65,37
38,66,38
39,68,39
40,71,40
41,76,41
42,77,42
43,78,43
44,79,44
45,80,45
46,82,46
47,87,47
48,88,48
49,89,49
50,92,50
51,94,51
52,95,52
53,98,53
54,100,54
55,102,55
56,104,56
57,105,57
58,112,58
59,116,59
60,120,60
61,123,61
62,124,62
63,126,63
64,127,64
65,130,65
66,131,66
67,137,67
68,138,68
69,150,69
70,155,70
71,159,71
72,161,72
73,165,73
74,174,74
75,178,75
76,180,76
77,185,77
78,190,78
79,195,79
80,196,80
81,199,81
82,200,82
83,206,83
84,207,84
85,209,85
86,217,86
87,229,87
88,237,88
89,239,89
90,243,90
91,244,91
92,248,92
93,251,93
94,256,94
95,280,95
96,287,96
97,290,97
98,292,98
99,295,99
100,298,100
101,306,101
102,310,102
103,313,103
104,314,104
105,318,105
106,325,106
107,332,107
108,341,108
109,344,109
110,349,110
111,350,111
112,353,112
113,355,113
114,356,114
115,359,115
116,360,116
117,367,117
118,370,118
119,377,119
120,383,120
121,384,121
122,388,122
123,406,123
124,407,124
125,411,125
126,415,126
127,416,127
128,418,128
129,420,129
130,426,130
131,429,131
132,430,132
133,431,133
134,445,134
135,451,135
136,454,136
137,458,137
138,468,138
139,470,139
140,479,140
141,483,141
142,487,142
143,494,143
144,501,144
145,518,145
146,527,146
147,532,147
148,534,148
149,542,149
150,552,150
151,557,151
152,563,152
153,567,153
154,575,154
155,583,155
156,586,156
157,589,157
158,590,158
159,595,159
160,606,160
161,609,161
162,613,162
163,633,163
164,640,164
165,643,165
166,652,166
167,666,167
168,674,168
169,681,169
170,690,170
171,695,171
172,717,172
173,728,173
174,732,174
175,746,175
176,750,176
177,754,177
178,759,178
179,761,179
180,762,180
181,780,181
182,786,182
183,788,183
184,794,184
185,796,185
186,807,186
187,809,187
188,813,188
189,824,189
190,840,190
191,856,191
192,876,192
193,885,193
194,890,194
195,902,195
196,903,196
197,935,197
198,942,198
199,944,199
200,949,200
201,951,201
202,960,202
203,972,203
204,976,204
205,1048,205
206,1050,206
207,1053,207
208,1067,208
209,1076,209
210,1082,210
211,1085,211
212,1117,212
213,1129,213
214,1130,214
215,1154,215
216,1164,216
217,1171,217
218,1177,218
219,1192,219
220,1205,220
221,1214,221
222,1230,222
223,1231,223
224,1233,224
225,1244,225
226,1246,226
227,1247,227
228,1252,228
229,1257,229
230,1272,230
231,1289,231
232,1304,232
233,1312,233
234,1313,234
235,1315,235
236,1323,236
237,1324,237
238,1340,238
239,1341,239
240,1355,240
241,1377,241
242,1386,242
243,1396,243
244,1398,244
245,1419,245
246,1420,246
247,1449,247
248,1452,248
249,1461,249
250,1493,250
251,1510,251
252,1545,252
253,1550,253
254,1571,254
255,1597,255
256,1600,256
257,1622,257
258,1663,258
259,1681,259
260,1695,260
261,1712,261
262,1719,262
263,1748,263
264,1782,264
265,1793,265
266,1800,266
267,1805,267
268,1831,268
269,1844,269
270,1855,270
271,1858,271
272,1880,272
273,1889,273
274,1898,274
275,1899,275
276,1928,276
277,1937,277
278,1951,278
279,1956,279
280,1978,280
281,1980,281
282,2017,282
283,2055,283
284,2062,284
285,2078,285
286,2085,286
287,2088,287
288,2090,288
289,2114,289
290,2125,290
291,2127,291
292,2150,292
293,2166,293
294,2212,294
295,2222,295
296,2249,296
297,2279,297
298,2293,298
299,2331,299
300,2333,300
301,2355,301
302,2376,302
303,2393,303
304,2407,304
305,2411,305
306,2413,306
307,2451,307
308,2454,308
309,2484,309
310,2496,310
311,2542,311
312,2576,312
313,2626,313
314,2672,314
315,2696,315
316,2713,316
317,2761,317
318,2774,318
319,2776,319
320,2794,320
321,2798,321
322,2837,322
323,2865,323
324,2908,324
325,3006,325
326,3097,326
327,3148,327
328,3185,328
329,3211,329
330,3212,330
331,3264,331
332,3288,332
333,3299,333
334,3303,334
335,3326,335
336,3383,336
337,3413,337
338,3446,338
339,3461,339
340,3484,340
341,3558,341
342,3567,342
343,3612,343
344,3638,344
345,3699,345
346,3753,346
347,3777,347
348,3783,348
349,3800,349
350,3926,350
351,3957,351
352,3977,352
353,4044,353
354,4116,354
355,4131,355
356,4215,356
357,4332,357
358,4451,358
359,4456,359
360,4540,360
361,4555,361
362,4638,362
363,4733,363
364,4845,364
365,4873,365
366,4887,366
367,4920,367
368,4935,368
369,5012,369
370,5061,370
371,5091,371
372,5105,372
373,5136,373
374,5159,374
375,5293,375
376,5407,376
377,5629,377
378,5812,378
379,6009,379
380,6086,380
381,6112,381
382,6168,382
383,6216,383
384,6219,384
385,6239,385
386,6313,386
387,6397,387
388,6448,388
389,6523,389
390,6670,390
391,6830,391
392,7132,392
393,7555,393
394,7756,394
395,7809,395
396,8148,396
397,8293,397
398,8586,398
399,8910,399
400,9392,400
401,9521,401
402,10352,402
403,11436,403
404,11490,404
405,11639,405
406,12122,406
