,phenotype,count
0,100100000,7116
1,000000000,43591
2,001011001,8409
3,011011001,21338
4,100000000,6112
5,000000100,6579
6,010000100,2392
7,010011001,1841
8,011011100,16
9,001011101,596
10,011011101,992
11,100110000,5074
12,100010000,9101
13,010000000,4205
14,101011001,717
15,001001001,19
16,110001010,3
17,000010000,2851
18,111011001,550
19,011011000,389
20,011011011,1937
21,011000000,1593
22,000100000,2182
23,110011001,209
24,000011010,60
25,000001000,916
26,001011011,466
27,000011001,1339
28,001000000,1485
29,001011010,92
30,001010010,40
31,001011000,271
32,001100000,45
33,100011000,201
34,101011101,22
35,100100100,281
36,010010100,482
37,111010001,30
38,101011000,156
39,000000010,336
40,010100000,98
41,110111001,204
42,001010000,203
43,100111001,266
44,011011010,508
45,000110000,464
46,001000100,125
47,011000100,124
48,000010100,592
49,100011001,338
50,000011011,95
51,101000000,92
52,100010100,256
53,010011101,311
54,011011111,154
55,011001000,411
56,001010001,86
57,111111001,532
58,110101000,25
59,000111001,54
60,111001110,1
61,010001000,630
62,111011000,73
63,101111001,579
64,111110000,48
65,111000000,57
66,001001010,50
67,001001000,447
68,010011000,218
69,011001010,110
70,110110000,156
71,110010100,90
72,110100000,250
73,011010100,23
74,010010001,153
75,111100000,180
76,011000010,312
77,101100000,192
78,010111001,24
79,011111001,182
80,101010001,84
81,010110100,17
82,000001010,89
83,001000110,38
84,010011010,138
85,100010001,170
86,000010001,160
87,010010000,569
88,000010010,80
89,100101000,86
90,101110001,22
91,101101000,33
92,011010010,157
93,011000110,43
94,011100000,28
95,110010000,202
96,110000000,213
97,100000100,307
98,100110001,40
99,011000011,4
100,001000010,181
101,100010010,21
102,000000001,37
103,101010000,169
104,000001001,30
105,010000010,152
106,001111001,291
107,010011011,204
108,011010000,203
109,000011000,319
110,101110000,71
111,100110100,117
112,001111011,10
113,101111101,8
114,001010110,5
115,010010010,121
116,011010001,85
117,110110001,22
118,100001000,119
119,111011010,37
120,101111000,45
121,000011101,81
122,010001100,48
123,000101000,12
124,000110100,30
125,011010110,22
126,001110100,2
127,000111011,3
128,100111000,86
129,101100010,10
130,011011110,20
131,110011000,30
132,110110100,17
133,000001100,71
134,011001001,19
135,100110010,4
136,000110001,8
137,110001000,32
138,110011101,8
139,110100100,46
140,010011100,25
141,000011100,26
142,110010001,52
143,111000001,2
144,111010011,4
145,001111101,5
146,111010000,49
147,001100010,5
148,010010011,14
149,000000110,50
150,100011101,11
151,111111011,37
152,000010011,11
153,110000100,75
154,010001010,96
155,111110010,10
156,111001000,39
157,110101010,3
158,101001000,51
159,111011011,36
160,110010010,12
161,100100001,5
162,010001001,26
163,000100100,125
164,000010101,14
165,001011111,57
166,101011010,12
167,110001001,4
168,010000001,25
169,111011111,5
170,100000011,1
171,011001100,17
172,011010011,51
173,010000110,44
174,111000110,2
175,111001011,2
176,100100010,12
177,011000001,15
178,101111100,3
179,111110101,1
180,101111011,9
181,111001001,11
182,110111011,12
183,010010101,30
184,101101001,2
185,001110000,19
186,001010100,23
187,101100001,4
188,011010111,10
189,001000001,26
190,100001110,2
191,101111111,1
192,010000011,2
193,001001100,20
194,101010100,5
195,010000101,6
196,010111101,3
197,010100100,35
198,001011100,12
199,011110000,10
200,111011101,18
201,000010111,1
202,111101100,2
203,100000001,26
204,011001110,18
205,111111000,29
206,111100010,18
207,110001100,1
208,101010101,3
209,001010011,11
210,000001110,10
211,011111011,11
212,010001101,5
213,111101010,7
214,100001100,8
215,100101001,2
216,011100010,1
217,000011110,11
218,011010101,8
219,001010101,6
220,010011111,24
221,101000100,7
222,110011010,3
223,100011100,9
224,101000001,8
225,000100010,6
226,110100010,6
227,010111000,3
228,110010101,6
229,010001110,7
230,000010110,12
231,100010011,4
232,001101000,10
233,000111000,13
234,111111010,6
235,000001101,1
236,000110010,4
237,010101000,4
238,111010101,2
239,100010101,2
240,111101000,18
241,011111000,2
242,100000010,10
243,111010100,2
244,100100110,2
245,000011111,9
246,010011110,9
247,101110100,3
248,110111000,19
249,100101100,4
250,111110001,29
251,011100001,1
252,111111101,6
253,110000101,1
254,110110110,1
255,110000010,4
256,011111100,1
257,111000011,1
258,001110010,1
259,011101010,1
260,001111000,2
261,010010110,16
262,000110011,1
263,110000001,9
264,000001011,2
265,101111010,8
266,100111101,3
267,110100001,5
268,111110011,2
269,010110000,23
270,111110100,1
271,010110001,2
272,110110010,5
273,101001011,1
274,111100001,2
275,101001001,3
276,011001101,1
277,011001011,9
278,101000010,2
279,101011011,6
280,011101000,2
281,010110011,1
282,101100100,3
283,110010110,1
284,101110010,3
285,100011010,7
286,010100010,2
287,111000010,6
288,000100001,2
289,010010111,5
290,011110010,1
291,100001001,3
292,110111010,4
293,001110011,1
294,000101010,3
295,011000101,1
296,111100110,1
297,110110101,1
298,101001010,4
299,101111110,1
300,100001010,4
301,101010010,5
302,100001101,4
303,111001010,6
304,000000011,1
305,000111101,4
306,110111101,3
307,110011011,1
308,110101100,1
309,101001100,3
310,000111100,1
311,010110010,1
312,001100100,1
313,100010110,2
314,101011100,3
315,011111010,2
316,100111111,1
317,010100001,1
318,001011110,1
319,001001011,1
320,010111100,1
321,110011100,3
322,111010010,3
323,110111111,1
324,110100110,2
325,010111010,1
326,110110011,1
327,101110101,1
328,001101010,1
329,111000100,1
330,011111101,5
331,111100100,2
332,111010111,1
333,001111111,1
334,110010011,1
335,010001011,3
336,001001110,3
337,000000101,1
338,000111010,1
339,010101010,1
340,110011110,1
341,101010011,1
342,011001111,1
343,001110001,1
344,110111100,1
345,001101001,1
346,011110001,1
347,100101010,1
348,101101010,1
