,sample_number,num_phenotypes
0,1,0
1,2,1
2,5,2
3,6,3
4,9,4
5,12,5
6,13,6
7,14,7
8,15,8
9,17,9
10,18,10
11,20,11
12,23,12
13,26,13
14,29,14
15,30,15
16,40,16
17,43,17
18,47,18
19,50,19
20,56,20
21,65,21
22,80,22
23,93,23
24,95,24
25,97,25
26,104,26
27,114,27
28,117,28
29,118,29
30,130,30
31,140,31
32,147,32
33,170,33
34,174,34
35,183,35
36,188,36
37,197,37
38,209,38
39,218,39
40,233,40
41,252,41
42,256,42
43,272,43
44,280,44
45,290,45
46,292,46
47,314,47
48,327,48
49,331,49
50,352,50
51,365,51
52,400,52
53,433,53
54,434,54
55,439,55
56,443,56
57,449,57
58,464,58
59,473,59
60,485,60
61,494,61
62,500,62
63,505,63
64,510,64
65,551,65
66,567,66
67,586,67
68,589,68
69,616,69
70,624,70
71,644,71
72,658,72
73,669,73
74,674,74
75,698,75
76,699,76
77,702,77
78,703,78
79,730,79
80,753,80
81,765,81
82,811,82
83,820,83
84,897,84
85,912,85
86,966,86
87,971,87
88,987,88
89,999,89
90,1096,90
91,1098,91
92,1161,92
93,1175,93
94,1201,94
95,1222,95
96,1242,96
97,1267,97
98,1294,98
99,1333,99
100,1393,100
101,1421,101
102,1468,102
103,1490,103
104,1504,104
105,1564,105
106,1571,106
107,1630,107
108,1694,108
109,1718,109
110,1744,110
111,1770,111
112,1799,112
113,1811,113
114,1835,114
115,1881,115
116,1890,116
117,2090,117
118,2183,118
119,2185,119
120,2190,120
121,2198,121
122,2274,122
123,2303,123
124,2400,124
125,2512,125
126,2599,126
127,2761,127
128,2961,128
129,2989,129
130,3231,130
131,3251,131
132,3326,132
133,3430,133
134,3496,134
135,3596,135
136,3613,136
137,3694,137
138,3720,138
139,3723,139
140,3771,140
141,3796,141
142,3815,142
143,3831,143
144,3833,144
145,3847,145
146,4021,146
147,4306,147
148,4452,148
149,4538,149
150,4674,150
151,4719,151
152,4739,152
153,4752,153
154,5075,154
155,5083,155
156,5101,156
157,5235,157
158,5300,158
159,5356,159
160,5358,160
161,5523,161
162,5562,162
163,5604,163
164,5656,164
165,5694,165
166,5812,166
167,5878,167
168,5890,168
169,5895,169
170,5915,170
171,6000,171
172,6194,172
173,6312,173
174,6409,174
175,6826,175
176,6914,176
177,6954,177
178,6974,178
179,7017,179
180,7210,180
181,7242,181
182,7406,182
183,7501,183
184,7625,184
185,7718,185
186,7766,186
187,8204,187
188,8228,188
189,8232,189
190,8236,190
191,8428,191
192,8498,192
193,8658,193
194,8911,194
195,8968,195
196,9260,196
197,9437,197
198,9518,198
199,9599,199
200,9639,200
201,9651,201
202,9692,202
203,9959,203
204,9989,204
205,10369,205
206,10441,206
207,10613,207
208,10687,208
209,10805,209
210,10902,210
211,11316,211
212,11409,212
213,11553,213
214,11591,214
215,11730,215
216,12003,216
217,12521,217
218,12886,218
219,12969,219
220,13225,220
221,13398,221
222,13546,222
223,13637,223
224,14115,224
225,14243,225
226,14788,226
227,14811,227
228,14829,228
229,15055,229
230,16067,230
231,16460,231
232,16886,232
233,16936,233
234,17417,234
235,17830,235
236,18371,236
237,19334,237
238,19553,238
239,20251,239
240,20382,240
241,20736,241
242,20955,242
243,21070,243
244,21239,244
245,23398,245
246,24015,246
247,24470,247
248,24798,248
249,24810,249
250,25067,250
251,25398,251
252,25633,252
253,25947,253
254,26788,254
255,27189,255
256,27713,256
257,28408,257
258,28961,258
259,29125,259
260,29683,260
261,29748,261
262,29818,262
263,30756,263
264,31500,264
265,31568,265
266,31744,266
267,32081,267
268,32861,268
269,34543,269
270,35365,270
271,36455,271
272,36717,272
273,36855,273
274,36920,274
275,37180,275
276,38128,276
277,38224,277
278,39664,278
279,39850,279
280,40827,280
281,42468,281
282,43965,282
283,44544,283
284,47307,284
285,47552,285
286,48177,286
287,51284,287
288,51815,288
289,52488,289
290,53464,290
291,54679,291
292,54984,292
293,55753,293
294,55811,294
295,56682,295
296,57282,296
297,57983,297
298,58129,298
299,59390,299
300,59570,300
301,61386,301
302,61927,302
303,62914,303
304,64108,304
305,64753,305
306,65621,306
307,65962,307
308,66031,308
309,75396,309
310,78495,310
311,80558,311
312,81025,312
313,81969,313
314,86505,314
315,88075,315
316,90355,316
317,92012,317
318,93211,318
319,93574,319
320,97195,320
321,98133,321
322,98367,322
323,99276,323
324,100683,324
325,100964,325
326,101056,326
327,102647,327
328,103454,328
329,104002,329
330,106322,330
331,107249,331
332,108921,332
333,109680,333
334,109769,334
335,110378,335
336,111388,336
337,114671,337
338,120053,338
339,122287,339
340,124473,340
341,127091,341
342,128446,342
343,135749,343
344,136848,344
345,141789,345
346,142142,346
347,142369,347
348,145920,348
