,phenotype,count
0,01101111001101111010,2453
1,01001111001101010001,30397
2,00000000000000000000,27567
3,10000100000000000101,181
4,01100011001110111010,51
5,01011111111101010101,51
6,10010101110010000111,32555
7,10010001110010000110,1941
8,01101110001111011001,1621
9,01111111111111010001,93
10,11011111111101010111,96
11,10010100100000000111,3150
12,00010000110000000111,1576
13,11110111111110111011,1610
14,01110111111111111111,1467
15,01101111001111111011,2807
16,01101111001110111010,1810
17,01101110001111010001,423
18,11010110101101010111,1673
19,00000100000000000111,192
20,10000000000000000110,2157
21,10010101110010000010,104
22,01001111001101111011,466
23,01111111111111111111,331
24,10000100000000000111,2278
25,11110111111111111010,1736
26,00101101000001001000,1766
27,10010000110000000111,309
28,01100111001110111010,256
29,10010101110010000110,403
30,00101000000011001000,1627
31,01001111001101011001,197
32,01101111001111010001,836
33,00000101000001000000,205
34,00000000010000000110,216
35,11110111111110110101,290
36,01000111001101110000,57
37,00101101000000001000,50
38,00010000110000000001,161
39,00000000000000101000,144
40,11101110001111011001,59
41,11001111001101010111,111
42,00000000000000000110,190
43,10010101110010000101,631
44,00001000000011001000,125
45,10011101110011001010,51
46,01111111111110111011,53
47,10010101110010000011,449
48,11111111111111111010,57
49,11110111111111111111,94
50,10010001110010000001,2176
51,10010100110000000111,453
52,01101111001111011001,316
53,00010000110000000101,407
54,10010001110010000111,281
55,01001111001101111111,187
56,10010001110010000000,696
57,00010000100000000101,195
58,01101011001111111010,132
59,00101100000010101000,41
60,00101101000001001101,54
61,00000100000000000001,204
62,10011101110011001000,53
63,00000101000000000000,187
64,00000000000000000100,64
65,01001010001111111010,50
66,01010111101101111111,49
67,00000000010000000000,268
68,00000000000011000000,52
69,10000100000000000110,103
70,10010000100000000111,171
71,10010001110010000101,418
72,00101000000010000000,148
73,01101011001111110000,56
74,11110011111110111111,225
75,01010110101101010101,58
76,11110111111111110101,237
77,01001110001101011001,106
78,00001101000000000000,172
79,10000100000000000001,91
80,11010110101101010001,45
81,10011001110011001000,57
82,11010111111111111010,92
83,11010110101101010101,94
84,01000110001101010001,708
85,11110111111110111111,345
86,10011001110011001010,49
87,01100111001111111011,548
88,01100111001101110000,56
89,00000100010000000010,50
90,01100011001101111010,91
91,01001110001101111001,92
92,00001101000001000000,124
93,00100101000001000000,61
94,01100111001101111010,211
95,01101111001100110000,51
96,00010100110000000111,516
97,00001101000001001000,106
98,01101011001101111010,103
99,00001001000000101000,54
100,01011110101101011111,53
101,01100111001111111000,47
102,01101111001111111010,970
103,11111111111111110000,61
104,11111110101100111111,60
105,01110111101111010001,178
106,00101000000001001000,200
107,00101100000011000000,60
108,11000011001101110110,55
109,00000000000001000000,53
110,10010001110010000010,113
111,01101011001111111000,51
112,01101111001100111010,201
113,11010111111110111111,99
114,00001101000001000110,55
115,00101001000000001000,57
116,00000100000000000101,99
117,01000110001101111001,108
118,01000011001101110000,44
119,10000100000000000011,59
120,00010100100000000111,261
121,01100111001111111010,75
122,00101101000011001000,215
123,01001011001101111000,43
124,11000110001101010111,98
125,00001101000000101000,58
126,11110111111111111011,100
127,10110101110010001111,85
128,01101111001111110001,103
