,sample_number,num_phenotypes
0,1,0
1,2,1
2,3,2
3,4,3
4,5,4
5,6,5
6,7,6
7,8,7
8,10,8
9,14,9
10,15,10
11,17,11
12,19,12
13,22,13
14,23,14
15,25,15
16,27,16
17,39,17
18,43,18
19,46,19
20,51,20
21,53,21
22,57,22
23,59,23
24,61,24
25,67,25
26,68,26
27,74,27
28,76,28
29,79,29
30,81,30
31,86,31
32,88,32
33,92,33
34,103,34
35,105,35
36,107,36
37,110,37
38,119,38
39,125,39
40,127,40
41,131,41
42,133,42
43,135,43
44,142,44
45,146,45
46,152,46
47,153,47
48,162,48
49,170,49
50,171,50
51,177,51
52,182,52
53,191,53
54,193,54
55,201,55
56,216,56
57,245,57
58,257,58
59,266,59
60,267,60
61,275,61
62,281,62
63,289,63
64,293,64
65,298,65
66,305,66
67,306,67
68,322,68
69,340,69
70,346,70
71,359,71
72,371,72
73,374,73
74,377,74
75,382,75
76,387,76
77,400,77
78,402,78
79,414,79
80,428,80
81,429,81
82,458,82
83,460,83
84,465,84
85,472,85
86,479,86
87,485,87
88,502,88
89,507,89
90,514,90
91,526,91
92,548,92
93,551,93
94,588,94
95,596,95
96,614,96
97,634,97
98,674,98
99,680,99
100,682,100
101,699,101
102,708,102
103,709,103
104,736,104
105,788,105
106,821,106
107,826,107
108,828,108
109,845,109
110,890,110
111,906,111
112,912,112
113,925,113
114,938,114
115,946,115
116,956,116
117,973,117
118,1000,118
119,1010,119
120,1046,120
121,1067,121
122,1077,122
123,1079,123
124,1124,124
125,1135,125
126,1152,126
127,1163,127
128,1177,128
129,1179,129
130,1200,130
131,1211,131
132,1231,132
133,1237,133
134,1260,134
135,1290,135
136,1350,136
137,1355,137
138,1358,138
139,1375,139
140,1383,140
141,1421,141
142,1446,142
143,1447,143
144,1494,144
145,1516,145
146,1527,146
147,1541,147
148,1546,148
149,1559,149
150,1583,150
151,1591,151
152,1606,152
153,1640,153
154,1735,154
155,1742,155
156,1744,156
157,1753,157
158,1783,158
159,1785,159
160,1945,160
161,1991,161
162,2020,162
163,2066,163
164,2073,164
165,2113,165
166,2223,166
167,2298,167
168,2348,168
169,2360,169
170,2366,170
171,2574,171
172,2604,172
173,2616,173
174,2617,174
175,2662,175
176,2886,176
177,2900,177
178,2922,178
179,2925,179
180,2946,180
181,2955,181
182,3021,182
183,3037,183
184,3091,184
185,3119,185
186,3132,186
187,3152,187
188,3229,188
189,3259,189
190,3273,190
191,3353,191
192,3386,192
193,3387,193
194,3410,194
195,3455,195
196,3471,196
197,3498,197
198,3507,198
199,3519,199
200,3587,200
201,3730,201
202,3747,202
203,3901,203
204,3908,204
205,3910,205
206,3947,206
207,3964,207
208,3969,208
209,4162,209
210,4288,210
211,4299,211
212,4304,212
213,4653,213
214,4740,214
215,4741,215
216,4807,216
217,4875,217
218,5272,218
219,5328,219
220,5595,220
221,5677,221
222,5783,222
223,5805,223
224,5813,224
225,5878,225
226,5977,226
227,6008,227
228,6098,228
229,6452,229
230,6824,230
231,6860,231
232,7379,232
233,7802,233
234,8263,234
235,8345,235
236,8588,236
237,8654,237
238,9171,238
239,9543,239
240,9853,240
241,10202,241
242,10297,242
243,10529,243
244,10972,244
