,phenotype,count
0,01010001000000000001,2
1,10010000000000000000,50
2,00000000000000000000,41297
3,11000000001001100000,1
4,00000100000000000000,808
5,10000000000000001000,76
6,00000000100000000000,1161
7,01001000000010000000,5
8,00000010001100000000,732
9,00001000001100000000,198
10,10110001100001100010,14
11,00000000100000110100,176
12,00000000000001000000,1902
13,01100010000001000010,3
14,01000000001110000000,6
15,00000000010000000000,1175
16,11110000100000000101,1
17,00100000000000000000,930
18,00000000000011000000,84
19,10000000100000000011,49
20,00000000000000000001,441
21,11110000000001100011,87
22,00000000000000010000,1179
23,10000000000001000000,211
24,00000000001101000000,367
25,00000010001101001111,1
26,11000000100000000000,14
27,00100000000000000010,1131
28,00000100011001100000,1
29,10110000000000000011,189
30,00000001001000000000,12
31,00000010100000000100,9
32,00000000000000001000,843
33,00000010100000000000,47
34,00000000000000100000,1184
35,11100110001000000010,2
36,00000110000000000000,166
37,10000000000000000010,182
38,00100001000100000010,6
39,01000000100000000000,72
40,00000000001000001000,183
41,00100010000101000010,8
42,00000010001001000000,660
43,00000000000000010110,128
44,00000110000100000000,97
45,00000000001000000000,2450
46,11110001000000000010,9
47,00010000100000100101,5
48,00001000100000010000,7
49,10010000000001100011,14
50,00001010001001100000,12
51,00100101000001001011,2
52,01101011000101000011,1
53,00000000101000110000,23
54,10000000000000000001,256
55,11100000100001000011,80
56,00000000000100000000,743
57,11110001100001100011,126
58,10100001100001000011,79
59,00110110001110000011,1
60,11110001100001000011,121
61,00100000100000100010,51
62,01100001001001001010,1
63,00000000100000110000,379
64,00000010001000000000,1305
65,10100001100000000010,24
66,00000000000000100100,533
67,01000000000000000000,998
68,10010001100000000010,9
69,00001010001101000010,18
70,10000000100000000001,46
71,00000010001011001000,10
72,01100001101001000001,1
73,00110001100001100111,3
74,00001100101000101100,1
75,00000000000000110000,692
76,00100000000000100110,61
77,10110000000001000011,225
78,11110001100001100010,10
79,11011110000101100001,1
80,00000001000000000010,104
81,11001000000001000001,1
82,00000010000000000000,1870
83,00000110001101000000,327
84,01001000101000000000,5
85,00000010000001110000,4
86,10110000000000100011,72
87,00000000000000110010,136
88,00100000100001000111,4
89,10110010000000100011,4
90,00100001100010000000,1
91,00100110001000000010,11
92,00110001100001000011,56
93,11110001000001100011,48
94,10110001100001000011,157
95,00100000000001000100,5
96,00001010000000000000,194
97,01000000001100000011,1
