,phenotype,count
0,000000000000,54630
1,000000000010,2251
2,100000010000,129
3,100000000000,5103
4,000100011100,3896
5,000100010000,1144
6,100000100000,1466
7,100100100000,7318
8,100100000000,7480
9,000000000001,2172
10,100001000000,505
11,000001000010,141
12,000000010000,1608
13,000000100000,2693
14,100100100001,197
15,000100011000,2766
16,000000001000,3277
17,000100000100,1336
18,100101000000,291
19,000100011101,61
20,000100010100,898
21,000100000000,8122
22,000000001100,2674
23,000101011000,57
24,100100001000,995
25,000000000100,3196
26,000101010000,42
27,100100010100,264
28,000000010100,1469
29,000001000001,717
30,000100001000,4189
31,100100011000,446
32,100100001100,848
33,000100111100,223
34,000100001100,3670
35,100000011000,84
36,100100000100,551
37,100100011100,652
38,000100100000,3113
39,000000001010,108
40,000001000000,2622
41,100100101000,617
42,100100100100,367
43,000100000001,307
44,000001001101,12
45,100000101000,78
46,000100101000,314
47,100000001001,39
48,000000011000,1117
49,100101010000,13
50,000100001001,171
51,000000011100,1732
52,000101000100,44
53,100101000001,102
54,100100000001,304
55,000100011001,74
56,100101001100,31
57,000100100100,227
58,100000010100,100
59,000000110000,79
60,100100111100,350
61,000001010110,3
62,100100111000,188
63,000101000000,353
64,100000001000,279
65,000100101100,241
66,000100111000,141
67,000000000110,107
68,100100101100,410
69,000001011100,53
70,000000100010,81
71,000100000010,291
72,000101011100,82
73,100101100000,154
74,100000011100,136
75,100100000010,138
76,100000110000,36
77,000001000101,31
78,000001001000,101
79,001000000000,248
80,000000011101,36
81,101001000000,1
82,100100110100,181
83,100100010000,318
84,000101001000,118
85,000101001001,32
86,100000000001,652
87,000000111000,72
88,100000000100,242
89,000000010110,24
90,110100010010,1
91,000000001001,102
92,000100110100,129
93,000000000101,116
94,000000001101,70
95,100101100001,33
96,100000001100,206
97,100000100100,69
98,100100110000,183
99,000000110100,66
100,000100100001,73
101,100001000010,9
102,100001000001,290
103,000101001100,95
104,100000010101,8
105,000001001100,83
106,000100000101,40
107,000100010010,27
108,000000001110,72
109,100000111000,30
110,000100001101,75
111,100000000010,113
112,000100010101,25
113,100100100010,101
114,100001100000,41
115,100000100001,57
116,000100110000,126
117,100001001000,26
118,000000111100,81
119,000001000100,111
120,000000100100,126
121,000100000110,29
122,000001011001,8
123,100101100100,10
124,000000010010,50
125,001100100000,11
126,000000101100,113
127,000000000011,61
128,000001001001,31
129,000101100000,75
130,100001011001,4
131,000100011110,70
132,110100001100,1
133,010000000000,75
134,000100001010,98
135,000000011010,31
136,100100111101,8
137,000001100001,13
138,100100111110,1
139,000101001101,14
140,000100101101,2
141,000001010100,52
142,100100011110,7
143,100000011001,14
144,100100100110,6
