,sample_number,num_phenotypes
0,1,0
1,2,1
2,5,2
3,6,3
4,10,4
5,13,5
6,15,6
7,17,7
8,18,8
9,20,9
10,22,10
11,24,11
12,28,12
13,31,13
14,32,14
15,34,15
16,35,16
17,37,17
18,39,18
19,41,19
20,42,20
21,44,21
22,46,22
23,48,23
24,49,24
25,55,25
26,56,26
27,64,27
28,65,28
29,71,29
30,80,30
31,87,31
32,89,32
33,92,33
34,94,34
35,97,35
36,99,36
37,120,37
38,121,38
39,122,39
40,138,40
41,154,41
42,167,42
43,178,43
44,185,44
45,217,45
46,248,46
47,252,47
48,256,48
49,259,49
50,263,50
51,266,51
52,300,52
53,301,53
54,304,54
55,319,55
56,345,56
57,365,57
58,397,58
59,409,59
60,412,60
61,413,61
62,426,62
63,427,63
64,437,64
65,505,65
66,509,66
67,514,67
68,549,68
69,559,69
70,599,70
71,611,71
72,613,72
73,630,73
74,636,74
75,651,75
76,676,76
77,690,77
78,696,78
79,731,79
80,785,80
81,790,81
82,809,82
83,815,83
84,838,84
85,840,85
86,841,86
87,851,87
88,878,88
89,886,89
90,923,90
91,947,91
92,965,92
93,996,93
94,1005,94
95,1019,95
96,1056,96
97,1064,97
98,1082,98
99,1151,99
100,1188,100
101,1196,101
102,1252,102
103,1253,103
104,1257,104
105,1276,105
106,1321,106
107,1337,107
108,1344,108
109,1353,109
110,1355,110
111,1363,111
112,1390,112
113,1573,113
114,1688,114
115,1696,115
116,1726,116
117,1753,117
118,1799,118
119,2013,119
120,2073,120
121,2077,121
122,2081,122
123,2131,123
124,2202,124
125,2305,125
126,2308,126
127,2309,127
128,2310,128
129,2353,129
130,2532,130
131,2583,131
132,2640,132
133,2644,133
134,2678,134
135,2805,135
136,2917,136
137,3020,137
138,3026,138
139,3069,139
140,3186,140
141,3331,141
142,3359,142
143,3475,143
144,3551,144
145,3797,145
146,3845,146
147,3872,147
148,3925,148
149,3929,149
150,3979,150
151,4033,151
152,4077,152
153,4087,153
154,4089,154
155,4158,155
156,4184,156
157,4235,157
158,4248,158
159,4280,159
160,4302,160
161,4316,161
162,4477,162
163,4487,163
164,4556,164
165,4593,165
166,4613,166
167,4627,167
168,4719,168
169,4723,169
