,sample_number,num_phenotypes
0,1,0
1,2,1
2,6,2
3,7,3
4,10,4
5,12,5
6,19,6
7,26,7
8,38,8
9,39,9
10,40,10
11,41,11
12,47,12
13,65,13
14,68,14
15,79,15
16,102,16
17,104,17
18,178,18
19,188,19
20,220,20
21,281,21
22,299,22
23,339,23
24,342,24
25,379,25
26,439,26
27,468,27
28,500,28
29,514,29
30,597,30
31,611,31
32,633,32
33,851,33
34,852,34
35,1042,35
36,1110,36
37,1347,37
38,1431,38
39,1596,39
40,1654,40
41,1873,41
42,1875,42
43,1939,43
44,2010,44
45,2428,45
46,2491,46
47,2532,47
48,2808,48
49,2817,49
50,2928,50
51,4321,51
52,4515,52
53,5066,53
54,5088,54
55,5579,55
56,7063,56
57,8306,57
58,8944,58
59,9171,59
60,9718,60
61,11707,61
62,11891,62
63,13731,63
64,15152,64
65,17346,65
66,19509,66
67,19740,67
68,20915,68
69,23777,69
70,30952,70
71,37271,71
72,40099,72
73,40946,73
74,46864,74
75,73928,75
76,76203,76
77,88226,77
78,99607,78
79,101220,79
80,108720,80
81,115837,81
