,phenotype,count
0,0000000,75050
1,0001010,13084
2,0100100,3573
3,0010000,1589
4,0100000,10652
5,0000010,10123
6,0001110,2502
7,1000000,3072
8,0000100,8606
9,0001100,1056
10,1000100,2386
11,1100000,2316
12,0101010,497
13,0000001,926
14,0101101,16
15,1000010,274
16,0001000,3012
17,0000110,2723
18,0100110,378
19,1100100,3129
20,1100010,137
21,0101011,28
22,0000011,159
23,0011000,56
24,0000111,261
25,0100010,590
26,1001010,183
27,0001101,193
28,0100111,74
29,0000101,981
30,0101100,131
31,1000110,223
32,0100001,93
33,0011010,39
34,1101010,48
35,1100111,3
36,0001111,108
37,0101000,223
38,0100101,212
39,1100110,192
40,0001001,123
41,0011100,2
42,0001011,157
43,1101100,35
44,0101110,238
45,0010100,34
46,0011110,3
47,0100011,24
48,1001000,29
49,0101111,59
50,0110000,63
51,0010010,60
52,1000001,4
53,1001110,68
54,1001100,56
55,1101000,26
56,1110000,1
57,1010100,5
58,1101110,34
59,0110010,2
60,0101001,5
61,0110101,1
62,1110100,2
63,1000011,4
64,1100101,17
65,1010000,7
66,0010110,4
67,0111000,5
68,0110100,5
69,1101011,1
70,1011000,1
71,1001011,1
72,1101101,2
73,1100011,2
74,1000101,9
75,1000111,4
76,1001111,2
77,1101111,2
78,1010110,1
79,0010101,1
80,1001101,2
81,0010011,1
